ip,duration,positive,id,Xs,Exclude,relax_1,relax_2,relax_3,relax_4,relax_5,relax_6,relax_time,awake_1,awake_2,awake_3,awake_4,awake_5,awake_6,awake_time,hot_1,hot_2,hot_3,hot_4,hot_5,hot_6,hot_time,cold_1,cold_2,cold_3,cold_4,cold_5,cold_6,cold_time,pay_1,pay_2,pay_3,pay_4,pay_5,pay_6,pay_time,pet_1,pet_2,pet_3,pet_4,pet_5,pet_6,pet_time,transport_1,transport_2,transport_3,transport_4,transport_5,transport_6,transport_time,draw_1,draw_2,draw_3,draw_4,draw_5,draw_6,draw_time,fire_1,fire_2,fire_3,fire_4,fire_5,fire_6,fire_time,light_1,light_2,light_3,light_4,light_5,light_6,light_time,cut_1,cut_2,cut_3,cut_4,cut_5,cut_6,cut_time,stick_1,stick_2,stick_3,stick_4,stick_5,stick_6,stick_time,contact_1,contact_2,contact_3,contact_4,contact_5,contact_6,contact_time,mask_1,mask_2,mask_3,mask_4,mask_5,mask_6,mask_time,meat_1,meat_2,meat_3,meat_4,meat_5,meat_6,meat_time
73.136.155.223,819,FALSE,AMV1E7FFPVAW4,11,,tv,mirror,portrait,carpet,computer,window,56,sofa,chair,mirror,fridg,cupboard,computer,75,desk,cup,chair,carpet,bed,lamp,43,food,garbage can,carpet,mirror,X,X,42,key,phon,headphon,tissu,sanitizer,X,35,cag,pet food,toy,shelv,X,X,65,tool,box,lawn mower,paint,treadmill,rack,79,cup,dish,canned good,storage container,X,X,36,cup,dish,utensil,mixer,coffee machin,pot,31,tissu,money,key,lint,army knif,reciept,46,makeup,dish,spoon,towel,X,cup,53,bed,chair,desk,mirror,coffee machin,carpet,57,app,pictur,calendar,music,X,X,65,wallet,key,money,credit card,tissu,chapstick,39,noodl,vegetabl,ric,sauc,X,spic,52.253
75.8.74.35,606,FALSE,AD7KTCCMS4A96,0,,Toilet,Carpet,Tabl,Oven,Sink,fan,52,Milk,Fork,Spoon,Knif,Cutting Board,Glas cup,23,Tabl,Chair,Love Seat,Sofa,Recliner,Sink,25,Couch,Carpet,Chair,Tabl,Lamp,Bed,41,Chapstick,Key,Facemask,Pen,Pencil,Lipstick,32,Pet Food,Leash,Dog food bowl,Dog Toy,Cat Treat,Carpet Cleaner,32,Paint,Leaf Blower,Potting Soil,Rak,Shovel,Ho,28,Salt,Pepper,Oregano,Garlic Powder,Olive Oil,Pam Spray,27,Kniv,Fork,Spoon,Pan,Pot Holder,Plat,25,Key,Wallet,Phon,Reciept,Chapstick,Loose Chang,36,Spoon,Oven Mit,Measuring Cup,Straw,Dish towel,meat thermometer,42,Bed,Tabl,Computer,Carpet,TV,Chair,24,Calculator,Alarm,Weather,Podcast,Netflix,Hulu,40,Cigarett,Lighter,Wallet,Key,Phon,Chapstick,17,Noodl,Broccoli,Pea,Mushroom,Onion,Tofu,19.862
173.47.178.202,789,FALSE,A12BSUP66MCLAI,0,,excersise equipment,table,lamp,closet,vacuum,dishwasher,80,chair,couch,tv,stereo,tabl,sink,33,tabl,couch,fireplac,dish,space heater,blanket,42,couch,toilet,sink,dish,radio,desk,45,phon,paper,pen,pencil,chapstick,glov,31,pet food,aquarium,dog cag,pet carrier,pet cloth,leash,35,tool,work bench,sport equipment,excerice bik,weight,storage box,40,cup,bowl,plat,soup can,cereal,snack,37,plat,napkin,bowl,silverwar,food,fridg,25,credit card,cash,pen,coin,wallet,key,28,pen,paper,pencil,stapler,book,coupon,26,microwav,bed,desk,sink,chair,bathroom,30,gam,pictur,app,digital wallet,contact,video,40,wallet,phon,key,pen,paper,chapstick,33,ramen,pho,eggroll,wonton,rangoon,shrimp,56.418
24.153.48.30,1593,FALSE,A1FE63K1QT776M,0,,tabl,chair,bed,pillow,desk,laptop,37,tv,remot,gaming consol,controller,couch,chair,33,bed,couch,tv,chair,window,carpet,32,couch,tv,chair,remot,shower,toilet,38,tissu,key,paper,sanitizer,water bottl,map,59,bread,water,pop,potato,tomato,kiwi,34,drill,wrench,hammer,nail,door,workbench,36,cup,board,tissu,towel,nail,tool,72,knif,spoon,fork,plat,bowl,pan,24,gum,wallet,key,licens,phon,chapstick,40,pencil,pen,paper,tissu,ruler,batteri,32,couch,bed,chair,desk,tabl,computer,26,gam,map,pictur,video,social media,text,49,key,wallet,money,licens,sanitizer,gum,37,ric,potato,cak,kiwi,tomato,appl,35.773
74.72.156.172,1808,FALSE,ADR5NXD0FGONS,2,,coffe,tv,video gam,treadmill,computer,homework,55,tv,food,cat,dog,sleeping pill,book,60,heater,blanket,sweatshirt,couch,tabl,chair,33,AC,food,couch,tv,mattres,toilet,31,phon,hand sanitzer,key,snack,face mask,glov,49,cat food,dog food,kitty litter,dog toy,cat treat,bird food,31,hiking boot,leaf blower,lawn mower,hos,box,shelv,50,paint brush,paint,sewing needl,thread,pom pom,fabric,31,food,tabl,chair,stov,sink,dishwasher,22,key,coin,cash,pocket knif,wallet,pill,54,shirt,skirt,blous,tap,sewing needl,receipt,34,book,paper,phon,bed,desk,candl,28,social media app,game app,empty contact list,delivery app,shopping app,X,89,phon,glov,key,wallet,hand sanitizer,money,26,vegetarian pho,garlic noodl,tofu soup,vegetable soup,tempura green bean,X,42.397
172.221.230.165,501,FALSE,A32QFJTK9LJXLR,0,,treadmill,exercise tap,trash bin,recycling bin,coffee tabl,canned corn,77,sleeping pill,Blank CD-ROM,Laptop,green onion,perfum,orang,44,space heater,sweater,hiking boot,tanning bed,blanket,fireplac,52,frozen pizza,shower curtain,microwav,tabl,mounted deer head,cast iron pan,51,foreign coin,coupon for another stor,driver licens,mace spray,chewing gum,dvd,57,other shopper,pet food,pet toy,pet cag,store attendant,LED light for basking reptil,43,jetski,ski-doo,workbench,mounted elk head,hunting bow,lumber,56,scrap metal,nail,finished painting,pottery clay,bead,string,55,appl,passport,spoon,corned beef,tomato,spinach,55,rolling paper,lint,beef jerky,wallet,car key,busines card,54,sweater,hat,wool sock,underwear,long john,sex toy,39,band poster,record player,rug,ceiling fan,desk lamp,cactu plant,68,gaming app,sport betting app,calculator app,camera app,music,youtube app,40,mixtap,lighter,camcorder,mystery novel,car key,water,65,tofu ramen,mushroom broth ramen,vegetable tempura,edamam,fried tofu,baked oyster mushroom,62.027
173.88.200.221,724,FALSE,A1S1HF9O791BP9,4,1,couch,meditation,alcohol,herbal tea,treadmill,tv,55,coffe,shower,tea,soda,treadmill,eliptical,52,ice cub,shower,fan,AC,ice bath,open window,54,Wood,match,blanket,heater,coat,glov,36,credit card,chang,gold,silver,gift card,venmo,34,kitten,fish,hamster,gerbal,dog,toy,60,bik,uber,taxi,lift,bu,neighbor,39,pencil,pen,paper,crayon,marker,chalk,34,match,fire starter,stov,oven,coffee maker,toaster,73,phon,lighter,match,pen light,X,X,73,scissor,knif,teeth,nail clipper,razor,box cutter,67,magnet,tap,glu,sticky not,X,X,59,email,twitter,facebook,instagram,whatsup,addres,39,scarf,bandana,Hankerchief,Kleenex,glov,hat,72,noodl,tofu,stir-fry,ric,soup,salad,71.292
76.118.255.44,1038,FALSE,A9ZCY6FLUCIU1,0,?,exercise bik,treadmill,weight,coffe,upcoming tax,sink full dish,88,book,phon,yoga mat,meditation tap,scissor,tap,37,ac,running water,fan,ice cub,juic,beer,32,heater,blanket,booti,thermal underwear,glov,face mask,29,water,fruit,sneaker,candy,tissu,mask,25,book,tap,food,pad,candy,phone card,76,ski,ga,storage box,oil,fridg,dog bed,37,cup,bowl,food,bottl,pan,water,29,pot,pan,fork,plat,spong,soap,29,gum,candy,tissu,hankerchief,drug,key,88,pad,fil,book,phon,pen,pencil,27,fram,box,tap,sticker,folder,category,58,gp,food delivery,laundry ap,calendar,shopping ap,newspaper,53,hand sanitizer,lipstick,mirror,candy,grocery bag,food,75,tofu,shrimp,fish,vegetabl,dumpling,spinach,39.453
47.134.10.175,874,FALSE,A1VVR1MBO0AFXG,0,,tabl,stov,fridg,microwav,tv,spatula,58,tabl,chair,tv,radio,art,cloth,29,chair,tv,food,tabl,art,photo,93,art,tabl,chair,closet,book,tv,48,key,paper,gum,tissu,identification,multitool,51,food,toy,flea collar,medication,scratching post,decoration,56,chair,lawn mower,rak,garden tool,grill,baseball bat,66,stapler,scissor,book,tap,glu,ruler,46,spatula,microwav,refigerator,knif,spoon,fork,23,wallet,money,key,gum,cigarett,credit card,39,tap,paper,paper clip,glu,twin,thumbtack,34,desk,book,bed,tabl,wall,light,33,gam,movie app,banking app,map app,document app,camera app,80,money,key,identification,gum,paper,tissu,29,tofu,vegetable curry,tea,water,vegetable tempura,miso soup,181.337
73.73.137.181,958,FALSE,A3HWJUL2SS2QNT,0,,Snak,Weight,Puzzl,Helmet,Hairdryer,Crack cocain,77,Pillow,Kleenex,Isotonic mineral,Dalmation,French bread,Wand,71,Raft,Machet,Hockey Mask,Nightgown,Camp Crystal Lake Brochur,Egg,43,Icecub,Snow cone machin,Icy-hot salv,Zamboni,Icecream,Penguin,103,Orang,Gnom,Tricycl,Fondue pot,French bread,Parsnip,41,Nietzsche book,Knausg̴rd book,Photo of ghost,Faded pictur,Letter to friend,Blank cassette tap,89,Old car,Fred Krueger,Machine labeled bad dream maker,Kniv,Box labeled wake UP,Mirror,94,Hat,Wand,Imp,Gerbil,Chucky,Chees,45,Spoon,Knif,Fork,Plat,Cup,Glas,48,Key,Fig,Mint,Paperclip,Nutmeg,Sugar,39,Snack,Key,Coin,sprit,paperclip,operation board gam,49,Pencil,Cup,Pen,Walkman,Phonograph,Hula-hoop,38,Pictur,Video,Mem,Cat picutr,App,Skyp,32,Key,Soap,Gum,Mac,Wand,Phon,26,Scallion,Tofu,Egg,Corn,Carrot,Pea,43.682
76.26.87.13,436,FALSE,A3D8ZG1VV5FO35,0,,win,beer,bed,sheet,towel,carpet,56,bread,chair,sofa,bed,shower,milk,36,water,beer,ic,shower,freezer,fan,55,towel,blanket,chair,bed,tabl,fireplac,36,appl,key,pen,mint,gum,flash light,58,dog food,cat food,cat liter,cag,leash,name tag,37,shovel,oil,sled,snowblower,lawnmower,garden shear,51,plat,bowl,cup,mug,cereal,trash bag,65,microwave oven,sink,tabl,chair,placemat,fork,41,phon,key,tissu,lip balm,mint,gum,40,screw driver,razor,wine screw,nail clipper,pen,knif,50,bed,blanket,desk,chair,lamp,book,50,mother phone number,Andy girl friend number,banking app,music playlist,your phone number,grubhub app,139,pen,tissu,tee shirt,coffee mug,sock,baseball cap,60,vegetabl,tofu,fish,squid,salmon,chees,92.138
66.76.208.131,636,FALSE,A1DB55ZHE7ENEH,0,,loud music player,tv on loud,uncomfortable chair,cold shower,banana,cereal,120,book,ironing board,tabl,chair,magazin,flower,71,wool blanket,bed,sofa,recliner,tabl,chair,33,cot,wooden chair,tabl,pictur,tv,stereo,60,candy,gum,receipt,hair brush,calendar,notebook,44,dog bed,leash,dog food,cat food,cat toy,collar,81,rak,garbage can,shovel,tool,basketball,workbench,77,paint,bowl,cup,brush,art book,glitter,108,plat,glas,napkin,fork,spoon,kniv,32,coin,receipt,chap stick,cough drop,credit card,tissu,70,paper clip,thumb tack,marker,pen,pencil,ruler,29,bed,desk,pillow,paper,pencil,book,42,candy crush,angry bird,clock,investment app,calendar,fitnes app,81,candy,gum,coin,credit card,receipt,cough drop,40,carrot,scallion,onion,vegetable broth,tomato,bok choy,62.427
47.36.143.163,682,FALSE,A2HXUTHYA5C1E0,0,,couch,rug,clock,lamp,coffee tabl,sho,45,Bed,sink,trash can,fridg,dresser,window,64,lamp,bed,couch,tabl,chair,bathtub,33,couch,chair,fireplac,TV,kitchen,bedroom,75,shirt,sho,lingeri,sock,hat,jean,71,cat food,dog food,toy,cat litter,fish,pet bed,38,tool,tool box,work bench,work glov,chair,light,46,Glas,plat,spic,canned fruit,Boxed dinner,bean,54,pot,plat,glas,tabl,spoon,fork,33,phon,pocket knif,cash,chang,chapstick,Kleenex,112,pen,pencil,tap,post it,ruler,push pin,49,desk,bed,small fridg,TV,laptop,pillow,45,number,pictur,gam,email,video,youtub,64,wallet,money,credit card,driver licens,phon,mint,63,noodl,broth,utensil,bowl,napkin,cup,72.738
66.148.97.98,684,FALSE,A1OIIHLOC90XCH,0,,TV,Book,Couch,Chair,Bed,Fridg,65,Coffe,Tea,Cok,Caffeine pill,Shower,Towel,91,Bed,Food,Water,Couch,Chair,Tabl,36,Tabl,Chair,Bed,Shower,Toilet,Food,44,Brush,Tissu,Key,Watch,Candy,Mirror,37,Cag,Cash register,Book,Food,Bedding,Ceiling fan,67,Rak,Freezer,Tool,Lawnmower,Trimmer,Tricycl,116,Cup,Bowl,Pot,Can food,Fork,Chip,50,Pot,Stov,Fridg,Container,Purs,Sho,56,Wallet,Key,Tissu,Knif,Phon,Money,56,Underwear,Hankerchief,Wallet,Pictur,Shirt,Short,52,Bed,Dresser,Shower,Toilet,Chair,Book,49,Gam,Addres,Nam,Internet,Music,App,56,Wallet,Tissu,Makeup,Jewelry,Key,Brush,36,Ric,Potato,Soup,Tea,Noodl,Cak,83.276
68.40.132.218,686,FALSE,A255RBA8P0K0XV,0,,window,carpet,vacuum cleaner,broom,mop,trash can,60,stov,tabl,window,door,chair,wall,81,lamp,tv,couch,stov,fridg,radio,47,broom,chair,plat,tabl,window,mat,42,reciept,tissu,brochur,toilet paper,ink pen,paper clip,69,birdcag,kitty litter,dog food,cat food,hamster wheel,fish tank,56,tool,trash can,trash bag,hose pip,shovel,rak,64,mug,plat,cup,dry food,canned food,paper plat,41,knif,spoon,fork,napkin,paper towel,sink,36,lent,coin,paper,credit card,wallet,phon,36,underwear,money,pictur,condom,sock,paper,62,bunk bed,carpet,ceiling fan,pictur,blanket,tv,42,app,video,music,internet,camera,glas,70,hand sanitizor,glov,mac,glas,napkin,wallet,56,vegetabl,fruit,chees,candy,mustard,mayonnais,48.047
71.198.78.38,770,FALSE,A14H63JO45VV04,0,,cymbal,trumpet,drum,bed of nail,razor blad,sword,72,Crack cocain,spoon,lighter,rubber strap,hypodermic needl,tenni ball,130,heater,microwav,stov,fork,vas,lantern,46,swim suit,flip flop,umbrella,broom,pot,pan,42,sho,shirt,pant,underwear,sock,diaper,63,leash,collar,drinking dish,chew toy,scratching post,dog food,74,hammer,nail,fence post,radiator,flat tir,pitch fork,74,rag,can of soup,hammer,super glu,cag,garden tool,90,pot,pan,knif,fork,towel,spoon,46,key,quarter,pocket knif,bolt,wallet,ten dollar bill,70,soccer ball,water bottl,battery,iPad,pot of coffe,window cleaner,71,trophy,hand sanitizer,clown mask,baseball,pen,battery,59,camera,app for Call of Duty,start button,screen,volume button,power button,78,text book,key,Swis army knif,flash light,tenni ball,clas ring,65,kal,lettuc,Cok,punch,tofu,water,72.863
195.206.104.180,571,FALSE,ANHO7XT3KW3IY,0,,tv,Dog,Video game consol,Board gam,Phon,Cloth,83,tv,Computer,Couch,Lamp,Tabl,Toilet,62,Blanket,tv,Phon,Food,Coach,Armchair,50,furnitur,tv,board gam,food,radio,phon,52,Car key,Chapstick,Receipt,Mint,Gum,face mask,48,Pet food,Leash,Dog Tag,Pet Toy,Pet Kennel,Cat litter,37,Hammer,Wrench,Lawn Mower,Shovel,Rak,Lawn Bag,66,Puzzl,Scissor,Glu,Tap,Batteri,Nail,82,Blender,Microwav,fridg,Pan,Food,Sink,39,Receipt,Key,Wallet,Chang,Gum,Paper,55,A lighter,notepad,pen,marker,pin,tap,37,Bed,Computer,Fridg,Cloth,Textbook,Notebook,47,Contact phone number,Text messag,Email,App,Not,Gam,45,Hand Sanitizer,Glov,Key,Chapstick,Wallet,Pen,43,Vegetable tempura,Vegetable ramen,tofu,Eggplant,Zucchini,Carrot,51.393
146.115.73.211,913,FALSE,A345VDWYMDWTGD,0,,rug,washer,dryer,TV,radio,cabinet,40,rug,door,lightswitch,chair,lamp,candl,33,chair,tabl,couch,bed,lamp,sink,59,rug,TV,coffee tabl,chair,couch,end tabl,39,chapstick,hairbrush,hand sanitizer,phon,camera,book,49,pet food,leash,cag,litter,shampoo,cash register,61,paint,wood,shovel,lawn mower,hula hoop,sidewalk chalk,45,cup,plat,toothpick,matchstick,bowl,tupperwar,59,stov,sink,fridg,tabl,blender,toaster,34,chapstick,key,money,credit card,wallet,mirror,26,toothpast,sewing kit,deoderant,razor,hairbrush,makeup,47,microwav,bed,desk,lamp,chair,window,42,Gam,Mom number,Instagram,Dad number,Facebook,photo,49,phon,wallet,key,chapstick,magazin,camera,33,split pea soup,toast with hummu and avocado,raspberry smoothi,yogurt parfait,egg salad sandwich,kale salad,62.039
24.179.174.143,971,FALSE,A3LC6M2EMDBBXP,0,,fridg,toilet,curtain,tabl,trash can,toaster,49,couch,tv,stov,jacket,blanket,toilet,34,tabl,blanket,sink,stov,pillow,rug,56,fan,bathtub,pictur,chair,tabl,sink,52,receipt,trash,gum,candy,key,pen,32,pet food,toy,fish bowl,heat rock,leash,collar,42,ski,garbage can,ball,christma decoration,tenni racket,shelv,59,ribbon,marbl,glitter,glu,needl,thread,75,banana,water,mircowav,fridg,sugar,butter,30,lint,coin,gum,receipt,money,toothpick,78,paper,batteri,marbl,pencil,tap,coin,56,bed,blanket,food,trash,plat,can,35,youtub,amazon,banking app,gam,weather,new,49,wallet,phon,key,reciept,chang,candy,123,ramen,vegetabl,salad,bread,chees,sauc,38.674
67.254.210.204,825,FALSE,A2NMLTECRDWFN2,0,,water,couch,Tv,book,chair,tabl,52,water,food,Tv,couch,tabl and chair,wall fram,49,couch,TV,wall decor,sweater,blanket,food,100,couch,wall decor,tabl,chair,food,bed,27,car key,napkin,pen,notepad,phon,mask,32,food,toy,clothing,water,decoration,bed,35,workout machin,Christma decor,toy,washer and dryer,gardening tool,old shoes,111,cup,glas bottl,plat,wood stick,cleaning suppli,folder,53,plat,kniv,cup,oven,stov,microwav,40,gum,hairband,stickynot,coin,phon,paper clip,73,pen,paperclip,folder,stapler,pictur,glas,33,paper,folder,bed,chair,desk,computer,29,game app,other contact,calendar,social media,weather,calculator,54,key,phon,wallet,pocket chang,napkin,pen,31,soup,ric,lettuc,curry,cooki,bread,38.984
