context,trigger,query,human_rate,human_total,Conjunction Top-K,Conjunction Top-p,Disjunction Top-K,Disjunction Top-p,No linking,Ordering,Set Top-K,Set Top-p,X but not Y,human_yes,No linking absolute_error,X but not Y absolute_error,Ordering absolute_error,Set Top-K absolute_error,Conjunction Top-K absolute_error,Disjunction Top-K absolute_error,Set Top-p absolute_error,Conjunction Top-p absolute_error,Disjunction Top-p absolute_error
fridge,meat,juice,1.0,5,0.724,0.114,0.992,0.99,0.01057082591162501,0.99,0.726,0.114,0.1341246085949757,5,0.9894291740883749,0.8658753914050243,0.010000000000000009,0.274,0.276,0.008000000000000007,0.886,0.886,0.010000000000000009
fridge,meat,ketchup,0.16666666666666666,18,0.006,0.0,0.254,0.254,3.904618229534004e-06,0.254,0.006,0.0,0.0001101159462019124,3,0.16666276204843714,0.16655655072046474,0.08733333333333335,0.16066666666666665,0.16066666666666665,0.08733333333333335,0.16666666666666666,0.16666666666666666,0.08733333333333335
fridge,meat,milk,0.6666666666666666,3,0.914,0.202,1.0,0.998,0.0022157654826684865,0.998,0.916,0.202,0.1427749196739741,2,0.6644509011839982,0.5238917469926925,0.33133333333333337,0.2493333333333334,0.2473333333333334,0.33333333333333337,0.4646666666666666,0.4646666666666666,0.33133333333333337
fridge,meat,water,1.0,2,1.0,1.0,1.0,1.0,0.05714534497480362,1.0,1.0,1.0,0.23539604698898328,2,0.9428546550251964,0.7646039530110167,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fridge,meat,yogurt,0.625,16,0.038,0.002,0.706,0.706,1.8008659693827032e-05,0.706,0.038,0.002,0.00029339652993359947,10,0.6249819913403062,0.6247066034700663,0.08099999999999996,0.587,0.587,0.08099999999999996,0.623,0.623,0.08099999999999996
fridge,milk,juice,1.0,5,0.354,0.1,0.732,0.374,0.01057082591162501,0.36,0.726,0.114,0.11575382080059912,5,0.9894291740883749,0.8842461791994009,0.64,0.274,0.646,0.268,0.886,0.9,0.626
fridge,milk,ketchup,0.0,5,0.002,0.0,0.008,0.004,3.904618229534004e-06,0.004,0.006,0.0,7.084563382708624e-05,0,3.904618229534004e-06,7.084563382708624e-05,0.004,0.006,0.002,0.008,0.0,0.0,0.004
fridge,milk,meat,0.0,6,0.002,0.0,0.01,0.002,1.1334065415000177e-06,0.002,0.01,0.0,1.1842804922569347e-05,0,1.1334065415000177e-06,1.1842804922569347e-05,0.002,0.01,0.002,0.01,0.0,0.0,0.002
fridge,milk,water,0.8333333333333334,6,0.968,0.968,1.0,1.0,0.05714534497480362,0.968,1.0,1.0,0.43007756764384397,5,0.7761879883585298,0.4032557656894894,0.1346666666666666,0.16666666666666663,0.1346666666666666,0.16666666666666663,0.16666666666666663,0.1346666666666666,0.16666666666666663
fridge,milk,yogurt,0.2,5,0.014,0.002,0.04,0.016,1.8008659693827032e-05,0.016,0.038,0.002,0.0003054299645260702,1,0.1999819913403062,0.19969457003547395,0.184,0.162,0.186,0.16,0.198,0.198,0.184
fridge,water,juice,1.0,22,0.026,0.026,0.726,0.114,0.01057082591162501,0.026,0.726,0.114,0.04281805327891123,22,0.9894291740883749,0.9571819467210888,0.974,0.274,0.974,0.274,0.886,0.974,0.886
fridge,water,ketchup,0.0,4,0.0,0.0,0.006,0.0,3.904618229534004e-06,0.0,0.006,0.0,1.1963227352273855e-05,0,3.904618229534004e-06,1.1963227352273855e-05,0.0,0.006,0.0,0.006,0.0,0.0,0.0
fridge,water,meat,0.0,3,0.0,0.0,0.01,0.0,1.1334065415000177e-06,0.0,0.01,0.0,6.5762496535429145e-06,0,1.1334065415000177e-06,6.5762496535429145e-06,0.0,0.01,0.0,0.01,0.0,0.0,0.0
fridge,water,milk,0.9444444444444444,18,0.032,0.032,0.916,0.202,0.0022157654826684865,0.032,0.916,0.202,0.008975151542902194,17,0.942228678961776,0.9354692929015422,0.9124444444444444,0.028444444444444383,0.9124444444444444,0.028444444444444383,0.7424444444444445,0.9124444444444444,0.7424444444444445
fridge,water,yogurt,0.0,5,0.0,0.0,0.038,0.002,1.8008659693827032e-05,0.0,0.038,0.002,3.445708447239214e-05,0,1.8008659693827032e-05,3.445708447239214e-05,0.0,0.038,0.0,0.038,0.002,0.0,0.002
fridge,yogurt,juice,1.0,5,0.72,0.114,0.976,0.97,0.01057082591162501,0.97,0.726,0.114,0.07460653522264893,5,0.9894291740883749,0.9253934647773511,0.030000000000000027,0.274,0.28,0.02400000000000002,0.886,0.886,0.030000000000000027
fridge,yogurt,ketchup,0.2,5,0.006,0.0,0.148,0.148,3.904618229534004e-06,0.148,0.006,0.0,0.00010377366184120372,1,0.1999960953817705,0.19989622633815882,0.05200000000000002,0.194,0.194,0.05200000000000002,0.2,0.2,0.05200000000000002
fridge,yogurt,meat,0.4,5,0.01,0.0,0.294,0.294,1.1334065415000177e-06,0.294,0.01,0.0,1.258471407772657e-05,2,0.3999988665934585,0.3999874152859223,0.10600000000000004,0.39,0.39,0.10600000000000004,0.4,0.4,0.10600000000000004
fridge,yogurt,milk,0.75,4,0.902,0.202,0.998,0.984,0.0022157654826684865,0.984,0.916,0.202,0.45702043566858164,3,0.7477842345173316,0.29297956433141836,0.23399999999999999,0.16600000000000004,0.15200000000000002,0.248,0.548,0.548,0.23399999999999999
fridge,yogurt,water,1.0,2,1.0,1.0,1.0,1.0,0.05714534497480362,1.0,1.0,1.0,0.19051446184715676,2,0.9428546550251964,0.8094855381528432,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beach,bikini,coat,0.3333333333333333,3,0.042,0.048,0.086,0.104,0.00018325719038345763,0.058,0.07,0.094,2.56620317660207e-06,1,0.33315007614294984,0.3333307671301567,0.2753333333333333,0.2633333333333333,0.29133333333333333,0.24733333333333332,0.23933333333333331,0.2853333333333333,0.22933333333333333
beach,bikini,jacket,0.25,4,0.116,0.13,0.228,0.25,0.0004260857333882055,0.162,0.182,0.218,1.9563731988009467e-05,1,0.2495739142666118,0.249980436268012,0.088,0.068,0.134,0.021999999999999992,0.032,0.12,0.0
beach,bikini,jeans,0.5,6,0.466,0.514,0.764,0.844,0.003797660803361987,0.542,0.688,0.816,0.00017436964515930267,3,0.49620233919663803,0.4998256303548407,0.04200000000000004,0.18799999999999994,0.033999999999999975,0.264,0.31599999999999995,0.014000000000000012,0.344
beach,bikini,shorts,0.7,20,0.918,0.918,1.0,1.0,0.024763865083255884,0.918,1.0,1.0,0.003968634831321209,14,0.6752361349167441,0.6960313651686787,0.21800000000000008,0.30000000000000004,0.21800000000000008,0.30000000000000004,0.30000000000000004,0.21800000000000008,0.30000000000000004
beach,bikini,sunglasses,0.16666666666666666,18,0.29,0.34,0.522,0.622,0.0013970813340994986,0.38,0.432,0.582,0.00014455751316384602,3,0.16526958533256716,0.16652210915350282,0.21333333333333335,0.2653333333333333,0.12333333333333332,0.3553333333333334,0.41533333333333333,0.17333333333333337,0.45533333333333337
beach,coat,bikini,1.0,6,0.598,0.72,0.96,0.97,0.05242510279264671,0.942,0.616,0.748,0.0007851964128934633,6,0.9475748972073533,0.9992148035871066,0.05800000000000005,0.384,0.402,0.040000000000000036,0.252,0.28,0.030000000000000027
beach,coat,jacket,0.5454545454545454,11,0.172,0.206,0.758,0.76,0.0004260857333882055,0.748,0.182,0.218,8.27590535851273e-05,6,0.5450284597211572,0.5453717864009603,0.20254545454545458,0.3634545454545454,0.37345454545454543,0.2125454545454546,0.32745454545454544,0.33945454545454545,0.2145454545454546
beach,coat,jeans,0.5,16,0.674,0.792,0.952,0.962,0.003797660803361987,0.938,0.688,0.816,0.0008358372306872713,8,0.49620233919663803,0.49916416276931275,0.43799999999999994,0.18799999999999994,0.17400000000000004,0.45199999999999996,0.31599999999999995,0.29200000000000004,0.46199999999999997
beach,coat,shorts,1.0,5,0.992,0.992,1.0,1.0,0.024763865083255884,0.992,1.0,1.0,0.011538377058499314,5,0.9752361349167441,0.9884616229415006,0.008000000000000007,0.0,0.008000000000000007,0.0,0.0,0.008000000000000007,0.0
beach,coat,sunglasses,0.0,3,0.412,0.548,0.914,0.928,0.0013970813340994986,0.894,0.432,0.582,0.0005744619674656981,0,0.0013970813340994986,0.0005744619674656981,0.894,0.432,0.412,0.914,0.582,0.548,0.928
beach,jacket,bikini,1.0,2,0.56,0.662,0.894,0.924,0.05242510279264671,0.838,0.616,0.748,0.0007295413832671524,2,0.9475748972073533,0.9992704586167328,0.16200000000000003,0.384,0.43999999999999995,0.10599999999999998,0.252,0.33799999999999997,0.07599999999999996
beach,jacket,coat,1.0,3,0.07,0.088,0.252,0.258,0.00018325719038345763,0.252,0.07,0.094,1.8263702455403406e-05,3,0.9998167428096165,0.9999817362975446,0.748,0.9299999999999999,0.9299999999999999,0.748,0.906,0.912,0.742
beach,jacket,jeans,0.45,20,0.618,0.72,0.908,0.934,0.003797660803361987,0.838,0.688,0.816,0.0007765927600391541,9,0.44620233919663804,0.44922340723996085,0.38799999999999996,0.23799999999999993,0.16799999999999998,0.458,0.36599999999999994,0.26999999999999996,0.48400000000000004
beach,jacket,shorts,0.6,5,0.98,0.98,1.0,1.0,0.024763865083255884,0.98,1.0,1.0,0.013765436041350495,3,0.5752361349167441,0.5862345639586495,0.38,0.4,0.38,0.4,0.4,0.38,0.4
beach,jacket,sunglasses,0.5,4,0.386,0.504,0.8,0.832,0.0013970813340994986,0.754,0.432,0.582,0.00041568015011606306,2,0.4986029186659005,0.49958431984988394,0.254,0.068,0.11399999999999999,0.30000000000000004,0.08199999999999996,0.0040000000000000036,0.33199999999999996
beach,jeans,bikini,1.0,5,0.414,0.446,0.66,0.76,0.05242510279264671,0.458,0.616,0.748,0.0003459748946583944,5,0.9475748972073533,0.9996540251053416,0.542,0.384,0.5860000000000001,0.33999999999999997,0.252,0.554,0.24
beach,jeans,coat,0.6,5,0.048,0.058,0.084,0.098,0.00018325719038345763,0.062,0.07,0.094,4.2211843350819275e-06,3,0.5998167428096165,0.5999957788156649,0.538,0.53,0.5519999999999999,0.516,0.506,0.5419999999999999,0.502
beach,jeans,jacket,0.0,6,0.12,0.136,0.224,0.244,0.0004260857333882055,0.162,0.182,0.218,4.68225880345959e-05,0,0.0004260857333882055,4.68225880345959e-05,0.162,0.182,0.12,0.224,0.218,0.136,0.244
beach,jeans,shorts,1.0,5,0.884,0.884,1.0,1.0,0.024763865083255884,0.884,1.0,1.0,0.07952812210133126,5,0.9752361349167441,0.9204718778986687,0.11599999999999999,0.0,0.11599999999999999,0.0,0.0,0.11599999999999999,0.0
beach,jeans,sunglasses,0.25,4,0.266,0.302,0.506,0.62,0.0013970813340994986,0.34,0.432,0.582,0.00015352535565363572,1,0.2486029186659005,0.24984647464434637,0.09000000000000002,0.182,0.016000000000000014,0.256,0.33199999999999996,0.05199999999999999,0.37
beach,shorts,bikini,0.75,4,0.082,0.082,0.616,0.748,0.05242510279264671,0.082,0.616,0.748,0.00043031491717570474,3,0.6975748972073533,0.7495696850828243,0.668,0.134,0.668,0.134,0.0020000000000000018,0.668,0.0020000000000000018
beach,shorts,coat,0.75,4,0.008,0.008,0.07,0.094,0.00018325719038345763,0.008,0.07,0.094,2.6399680883173265e-06,3,0.7498167428096165,0.7499973600319116,0.742,0.6799999999999999,0.742,0.6799999999999999,0.656,0.742,0.656
beach,shorts,jacket,0.25,4,0.02,0.02,0.182,0.218,0.0004260857333882055,0.02,0.182,0.218,7.024694567456865e-05,1,0.2495739142666118,0.24992975305432544,0.23,0.068,0.23,0.068,0.032,0.23,0.032
beach,shorts,jeans,0.6,5,0.116,0.116,0.688,0.816,0.003797660803361987,0.116,0.688,0.816,0.000404243454318356,3,0.596202339196638,0.5995957565456816,0.484,0.08799999999999997,0.484,0.08799999999999997,0.21599999999999997,0.484,0.21599999999999997
beach,shorts,sunglasses,0.15,20,0.052,0.052,0.432,0.582,0.0013970813340994986,0.052,0.432,0.582,0.0001232872291433888,3,0.1486029186659005,0.1498767127708566,0.098,0.28200000000000003,0.098,0.28200000000000003,0.43199999999999994,0.098,0.43199999999999994
beach,sunglasses,bikini,1.0,5,0.492,0.56,0.744,0.808,0.05242510279264671,0.62,0.616,0.748,0.0006491782544249021,5,0.9475748972073533,0.9993508217455751,0.38,0.384,0.508,0.256,0.252,0.43999999999999995,0.19199999999999995
beach,sunglasses,coat,0.0,5,0.056,0.076,0.12,0.124,0.00018325719038345763,0.106,0.07,0.094,3.6262817642992066e-06,0,0.00018325719038345763,3.6262817642992066e-06,0.106,0.07,0.056,0.12,0.094,0.076,0.124
beach,sunglasses,jacket,0.8,5,0.154,0.176,0.274,0.288,0.0004260857333882055,0.246,0.182,0.218,3.549734184101043e-05,4,0.7995739142666118,0.799964502658159,0.554,0.6180000000000001,0.646,0.526,0.5820000000000001,0.6240000000000001,0.512
beach,sunglasses,jeans,0.5,6,0.558,0.616,0.79,0.86,0.003797660803361987,0.66,0.688,0.816,0.0003937465149274317,3,0.49620233919663803,0.4996062534850726,0.16000000000000003,0.18799999999999994,0.05800000000000005,0.29000000000000004,0.31599999999999995,0.11599999999999999,0.36
beach,sunglasses,shorts,0.5,4,0.948,0.948,1.0,1.0,0.024763865083255884,0.948,1.0,1.0,0.012249095042013776,2,0.4752361349167441,0.48775090495798623,0.44799999999999995,0.5,0.44799999999999995,0.5,0.5,0.44799999999999995,0.5
cold,blankets,fridge,0.0,4,0.018,0.028,0.914,0.914,0.0008476709110923122,0.914,0.018,0.028,5.982429465489474e-06,0,0.0008476709110923122,5.982429465489474e-06,0.914,0.018,0.018,0.914,0.028,0.028,0.914
cold,blankets,heater,1.0,2,0.996,1.0,1.0,1.0,0.18304599194425594,1.0,0.996,1.0,0.0010380271582785274,2,0.816954008055744,0.9989619728417215,0.0,0.0040000000000000036,0.0040000000000000036,0.0,0.0,0.0,0.0
cold,blankets,microwave,0.0,5,0.142,0.174,0.996,0.996,0.00037615168663119176,0.996,0.142,0.174,2.0880730553383396e-05,0,0.00037615168663119176,2.0880730553383396e-05,0.996,0.142,0.142,0.996,0.174,0.174,0.996
cold,blankets,sink,0.0,4,0.008,0.012,0.852,0.852,9.81250302054365e-05,0.852,0.008,0.012,2.8755834522857506e-07,0,9.81250302054365e-05,2.8755834522857506e-07,0.852,0.008,0.008,0.852,0.012,0.012,0.852
cold,blankets,tea,0.2,20,0.004,0.004,0.634,0.634,5.282331033596424e-06,0.634,0.004,0.004,3.3367312415951833e-05,4,0.19999471766896643,0.19996663268758405,0.434,0.196,0.196,0.434,0.196,0.196,0.434
cold,fridge,blankets,0.3333333333333333,3,0.002,0.004,0.086,0.086,7.5665898510842385e-06,0.086,0.002,0.004,9.3936635732824e-05,1,0.33332576674348224,0.3332393966976005,0.24733333333333332,0.3313333333333333,0.3313333333333333,0.24733333333333332,0.3293333333333333,0.3293333333333333,0.24733333333333332
cold,fridge,heater,0.8,5,0.994,0.998,1.0,1.0,0.18304599194425594,0.998,0.996,1.0,0.0012967558751045714,4,0.6169540080557441,0.7987032441248955,0.19799999999999995,0.19599999999999995,0.19399999999999995,0.19999999999999996,0.19999999999999996,0.19799999999999995,0.19999999999999996
cold,fridge,microwave,0.6923076923076923,13,0.142,0.174,0.862,0.862,0.00037615168663119176,0.862,0.142,0.174,4.4372524797202495e-05,9,0.6919315406210611,0.6922633197828951,0.1696923076923077,0.5503076923076923,0.5503076923076923,0.1696923076923077,0.5183076923076924,0.5183076923076924,0.1696923076923077
cold,fridge,sink,0.23809523809523808,21,0.008,0.012,0.334,0.334,9.81250302054365e-05,0.334,0.008,0.012,1.667574986183243e-06,5,0.23799711306503266,0.2380935705202519,0.09590476190476194,0.23009523809523807,0.23009523809523807,0.09590476190476194,0.22609523809523807,0.22609523809523807,0.09590476190476194
cold,fridge,tea,0.5,6,0.004,0.004,0.09,0.09,5.282331033596424e-06,0.09,0.004,0.004,4.000304435192506e-06,3,0.4999947176689664,0.4999959996955648,0.41000000000000003,0.496,0.496,0.41000000000000003,0.496,0.496,0.41000000000000003
cold,heater,blankets,0.8333333333333334,18,0.0,0.0,0.002,0.004,7.5665898510842385e-06,0.0,0.002,0.004,0.0007507194745929632,15,0.8333257667434822,0.8325826138587404,0.8333333333333334,0.8313333333333334,0.8333333333333334,0.8313333333333334,0.8293333333333334,0.8333333333333334,0.8293333333333334
cold,heater,fridge,0.0,4,0.002,0.002,0.018,0.028,0.0008476709110923122,0.002,0.018,0.028,1.1760912927146258e-05,0,0.0008476709110923122,1.1760912927146258e-05,0.002,0.018,0.002,0.018,0.028,0.002,0.028
cold,heater,microwave,0.2,5,0.014,0.014,0.142,0.174,0.00037615168663119176,0.014,0.142,0.174,6.91388403810185e-06,1,0.19962384831336882,0.19999308611596192,0.186,0.058000000000000024,0.186,0.058000000000000024,0.026000000000000023,0.186,0.026000000000000023
cold,heater,sink,0.0,5,0.0,0.0,0.008,0.012,9.81250302054365e-05,0.0,0.008,0.012,6.635053043896617e-07,0,9.81250302054365e-05,6.635053043896617e-07,0.0,0.008,0.0,0.008,0.012,0.0,0.012
cold,heater,tea,0.125,16,0.002,0.002,0.004,0.004,5.282331033596424e-06,0.002,0.004,0.004,7.401936552895651e-07,2,0.1249947176689664,0.12499925980634471,0.123,0.121,0.123,0.121,0.121,0.123,0.121
cold,microwave,blankets,0.6,5,0.002,0.002,0.004,0.006,7.5665898510842385e-06,0.004,0.002,0.004,0.0007174001762901272,3,0.5999924334101489,0.5992825998237099,0.596,0.598,0.598,0.596,0.596,0.598,0.594
cold,microwave,fridge,0.5,4,0.018,0.028,0.138,0.138,0.0008476709110923122,0.138,0.018,0.028,0.0002639167759499062,2,0.49915232908890766,0.4997360832240501,0.362,0.482,0.482,0.362,0.472,0.472,0.362
cold,microwave,heater,1.0,5,0.982,0.986,1.0,1.0,0.18304599194425594,0.986,0.996,1.0,0.00036073146268059586,5,0.816954008055744,0.9996392685373194,0.014000000000000012,0.0040000000000000036,0.018000000000000016,0.0,0.0,0.014000000000000012,0.0
cold,microwave,sink,0.0,4,0.008,0.01,0.066,0.068,9.81250302054365e-05,0.066,0.008,0.012,6.816756763228738e-06,0,9.81250302054365e-05,6.816756763228738e-06,0.066,0.008,0.008,0.066,0.012,0.01,0.068
cold,microwave,tea,0.2,5,0.004,0.004,0.018,0.018,5.282331033596424e-06,0.018,0.004,0.004,2.1663608190671855e-05,1,0.19999471766896643,0.19997833639180934,0.18200000000000002,0.196,0.196,0.18200000000000002,0.196,0.196,0.18200000000000002
cold,sink,blankets,0.3333333333333333,3,0.002,0.004,0.148,0.148,7.5665898510842385e-06,0.148,0.002,0.004,5.318016654840786e-06,1,0.33332576674348224,0.3333280153166785,0.18533333333333332,0.3313333333333333,0.3313333333333333,0.18533333333333332,0.3293333333333333,0.3293333333333333,0.18533333333333332
cold,sink,fridge,0.25,4,0.018,0.028,0.666,0.666,0.0008476709110923122,0.666,0.018,0.028,8.062835805978102e-05,1,0.2491523290889077,0.24991937164194022,0.41600000000000004,0.232,0.232,0.41600000000000004,0.222,0.222,0.41600000000000004
cold,sink,heater,1.0,4,0.996,1.0,1.0,1.0,0.18304599194425594,1.0,0.996,1.0,0.0006341911608979629,4,0.816954008055744,0.9993658088391021,0.0,0.0040000000000000036,0.0040000000000000036,0.0,0.0,0.0,0.0
cold,sink,microwave,0.5294117647058824,17,0.14,0.172,0.936,0.936,0.00037615168663119176,0.934,0.142,0.174,4.315725011421902e-05,9,0.5290356130192512,0.5293686074557682,0.4045882352941177,0.38741176470588234,0.38941176470588235,0.4065882352941177,0.35541176470588237,0.3574117647058824,0.4065882352941177
cold,sink,tea,0.0,5,0.004,0.004,0.162,0.162,5.282331033596424e-06,0.162,0.004,0.004,1.4313247651313861e-06,0,5.282331033596424e-06,1.4313247651313861e-06,0.162,0.004,0.004,0.162,0.004,0.004,0.162
cold,tea,blankets,0.6,5,0.002,0.004,0.366,0.366,7.5665898510842385e-06,0.366,0.002,0.004,0.00037031363835251515,3,0.5999924334101489,0.5996296863616475,0.23399999999999999,0.598,0.598,0.23399999999999999,0.596,0.596,0.23399999999999999
cold,tea,fridge,0.0,6,0.018,0.028,0.91,0.91,0.0008476709110923122,0.91,0.018,0.028,4.734969654206188e-06,0,0.0008476709110923122,4.734969654206188e-06,0.91,0.018,0.018,0.91,0.028,0.028,0.91
cold,tea,heater,0.5,6,0.994,0.998,1.0,1.0,0.18304599194425594,0.998,0.996,1.0,9.074925990464003e-05,3,0.31695400805574403,0.49990925074009535,0.498,0.496,0.494,0.5,0.5,0.498,0.5
cold,tea,microwave,0.0,5,0.142,0.174,0.982,0.982,0.00037615168663119176,0.982,0.142,0.174,0.00012403953157110392,0,0.00037615168663119176,0.00012403953157110392,0.982,0.142,0.142,0.982,0.174,0.174,0.982
cold,tea,sink,0.0,4,0.008,0.012,0.838,0.838,9.81250302054365e-05,0.838,0.008,0.012,4.875013680903148e-07,0,9.81250302054365e-05,4.875013680903148e-07,0.838,0.008,0.008,0.838,0.012,0.012,0.838
