sentence_number,sentence,word,cloze_prob
3,The baby's face puckered when she ate something,salty,0.01
3,The baby's face puckered when she ate something,bitter,0.01
3,The baby's face puckered when she ate something,slimy,0.01
3,The baby's face puckered when she ate something,tart,0.01
3,The baby's face puckered when she ate something,sweet,0.01
4,The beach is the place we will usually,swim,0.17
4,The beach is the place we will usually,go,0.16
4,The beach is the place we will usually,vacation,0.15
4,The beach is the place we will usually,visit,0.13
4,The beach is the place we will usually,relax,0.1
4,The beach is the place we will usually,meet,0.07
4,The beach is the place we will usually,stay,0.03
4,The beach is the place we will usually,sunbathe,0.03
4,The beach is the place we will usually,gather,0.03
4,The beach is the place we will usually,rest,0.02
4,The beach is the place we will usually,tan,0.02
4,The beach is the place we will usually,avoid,0.02
4,The beach is the place we will usually,celebrate,0.01
4,The beach is the place we will usually,like,0.01
4,The beach is the place we will usually,bodysurf,0.01
4,The beach is the place we will usually,walk,0.01
4,The beach is the place we will usually,ch,0.01
4,The beach is the place we will usually,trash,0.01
4,The beach is the place we will usually,picnic,0.01
4,The beach is the place we will usually,park,0.01
4,The beach is the place we will usually,dig,0.01
5,"After waiting three hours, Cal whined and started to",cry,0.5
5,"After waiting three hours, Cal whined and started to",complain,0.11
5,"After waiting three hours, Cal whined and started to",leave,0.08
5,"After waiting three hours, Cal whined and started to",squirm,0.05
5,"After waiting three hours, Cal whined and started to",pout,0.05
5,"After waiting three hours, Cal whined and started to",fidget,0.04
5,"After waiting three hours, Cal whined and started to",yell,0.04
5,"After waiting three hours, Cal whined and started to",pace,0.03
5,"After waiting three hours, Cal whined and started to",argue,0.02
5,"After waiting three hours, Cal whined and started to",weep,0.01
5,"After waiting three hours, Cal whined and started to",paw,0.01
5,"After waiting three hours, Cal whined and started to",pant,0.01
5,"After waiting three hours, Cal whined and started to",twitch,0.01
5,"After waiting three hours, Cal whined and started to",sulk,0.01
5,"After waiting three hours, Cal whined and started to",fret,0.01
5,"After waiting three hours, Cal whined and started to",stomp,0.01
5,"After waiting three hours, Cal whined and started to",bark,0.01
6,"While watching the funny movie, Kim was overcome with",laughter,0.68
6,"While watching the funny movie, Kim was overcome with",joy,0.18
6,"While watching the funny movie, Kim was overcome with",emotion,0.08
6,"While watching the funny movie, Kim was overcome with",hiccups,0.01
6,"While watching the funny movie, Kim was overcome with",giggles,0.01
6,"While watching the funny movie, Kim was overcome with",spasms,0.01
6,"While watching the funny movie, Kim was overcome with",humor,0.01
7,"Hearing noises from above, the confused man inspected the",attic,0.32
7,"Hearing noises from above, the confused man inspected the",ceiling,0.24
7,"Hearing noises from above, the confused man inspected the",roof,0.16
7,"Hearing noises from above, the confused man inspected the",sky,0.09
7,"Hearing noises from above, the confused man inspected the",door,0.02
7,"Hearing noises from above, the confused man inspected the",bedroom,0.01
7,"Hearing noises from above, the confused man inspected the",worst,0.01
7,"Hearing noises from above, the confused man inspected the",stairway,0.01
7,"Hearing noises from above, the confused man inspected the",pipes,0.01
7,"Hearing noises from above, the confused man inspected the",machine,0.01
7,"Hearing noises from above, the confused man inspected the",kids,0.01
7,"Hearing noises from above, the confused man inspected the",vents,0.01
7,"Hearing noises from above, the confused man inspected the",fan,0.01
7,"Hearing noises from above, the confused man inspected the",source,0.01
7,"Hearing noises from above, the confused man inspected the",stairs,0.01
7,"Hearing noises from above, the confused man inspected the",upstairs,0.01
7,"Hearing noises from above, the confused man inspected the",clouds,0.01
7,"Hearing noises from above, the confused man inspected the",tree,0.01
7,"Hearing noises from above, the confused man inspected the",room,0.01
7,"Hearing noises from above, the confused man inspected the",rooftop,0.01
7,"Hearing noises from above, the confused man inspected the",area,0.01
8,The restaurants on the west end were very,expensive,0.44
8,The restaurants on the west end were very,posh,0.07
8,The restaurants on the west end were very,crowded,0.06
8,The restaurants on the west end were very,fancy,0.06
8,The restaurants on the west end were very,busy,0.04
8,The restaurants on the west end were very,good,0.04
8,The restaurants on the west end were very,pricey,0.03
8,The restaurants on the west end were very,nice,0.02
8,The restaurants on the west end were very,noisy,0.02
8,The restaurants on the west end were very,swanky,0.02
8,The restaurants on the west end were very,dirty,0.02
8,The restaurants on the west end were very,clean,0.02
8,The restaurants on the west end were very,chic,0.01
8,The restaurants on the west end were very,best,0.01
8,The restaurants on the west end were very,trendy,0.01
8,The restaurants on the west end were very,hot,0.01
8,The restaurants on the west end were very,wonderful,0.01
8,The restaurants on the west end were very,extravagant,0.01
8,The restaurants on the west end were very,cheap,0.01
8,The restaurants on the west end were very,loud,0.01
8,The restaurants on the west end were very,old,0.01
8,The restaurants on the west end were very,dry,0.01
8,The restaurants on the west end were very,elegant,0.01
8,The restaurants on the west end were very,classy,0.01
8,The restaurants on the west end were very,high end,0.01
8,The restaurants on the west end were very,sparse,0.01
8,The restaurants on the west end were very,upscale,0.01
8,The restaurants on the west end were very,luxurious,0.01
9,"Tim was very tired, so he was difficult to",understand,0.14
9,"Tim was very tired, so he was difficult to",wake,0.1
9,"Tim was very tired, so he was difficult to",control,0.05
9,"Tim was very tired, so he was difficult to",hear,0.05
9,"Tim was very tired, so he was difficult to",tolerate,0.04
9,"Tim was very tired, so he was difficult to",handle,0.04
9,"Tim was very tired, so he was difficult to",entertain,0.03
9,"Tim was very tired, so he was difficult to",manage,0.03
9,"Tim was very tired, so he was difficult to",please,0.03
9,"Tim was very tired, so he was difficult to",soothe,0.03
9,"Tim was very tired, so he was difficult to",rouse,0.03
9,"Tim was very tired, so he was difficult to",arouse,0.03
9,"Tim was very tired, so he was difficult to",see,0.03
9,"Tim was very tired, so he was difficult to",engage,0.02
9,"Tim was very tired, so he was difficult to",work,0.02
9,"Tim was very tired, so he was difficult to",convince,0.02
9,"Tim was very tired, so he was difficult to",placate,0.02
9,"Tim was very tired, so he was difficult to",confront,0.02
9,"Tim was very tired, so he was difficult to",motivate,0.02
9,"Tim was very tired, so he was difficult to",move,0.02
9,"Tim was very tired, so he was difficult to",drive,0.02
9,"Tim was very tired, so he was difficult to",deal with,0.02
9,"Tim was very tired, so he was difficult to",help,0.01
9,"Tim was very tired, so he was difficult to",read,0.01
9,"Tim was very tired, so he was difficult to",calm,0.01
9,"Tim was very tired, so he was difficult to",carry,0.01
9,"Tim was very tired, so he was difficult to",talk to,0.01
9,"Tim was very tired, so he was difficult to",enjoy,0.01
9,"Tim was very tired, so he was difficult to",relax,0.01
9,"Tim was very tired, so he was difficult to",interrogate,0.01
9,"Tim was very tired, so he was difficult to",teach,0.01
9,"Tim was very tired, so he was difficult to",find,0.01
9,"Tim was very tired, so he was difficult to",endure,0.01
9,"Tim was very tired, so he was difficult to",coax,0.01
9,"Tim was very tired, so he was difficult to",talk,0.01
9,"Tim was very tired, so he was difficult to",concentrate,0.01
9,"Tim was very tired, so he was difficult to",visit,0.01
9,"Tim was very tired, so he was difficult to",take,0.01
9,"Tim was very tired, so he was difficult to",arouse,0.01
9,"Tim was very tired, so he was difficult to",study,0.01
9,"Tim was very tired, so he was difficult to",consult,0.01
9,"Tim was very tired, so he was difficult to",excite,0.01
10,Jean was satisfied as her sculpture began to take,shape,0.68
10,Jean was satisfied as her sculpture began to take,form,0.19
10,Jean was satisfied as her sculpture began to take,effect,0.02
10,Jean was satisfied as her sculpture began to take,pictures,0.01
10,Jean was satisfied as her sculpture began to take,action,0.01
10,Jean was satisfied as her sculpture began to take,money,0.01
10,Jean was satisfied as her sculpture began to take,glow,0.01
10,Jean was satisfied as her sculpture began to take,off,0.01
10,Jean was satisfied as her sculpture began to take,measurements,0.01
10,Jean was satisfied as her sculpture began to take,life,0.01
10,Jean was satisfied as her sculpture began to take,dry,0.01
10,Jean was satisfied as her sculpture began to take,hold,0.01
11,"Pressed for time, Beth made a quick grocery",run,0.33
11,"Pressed for time, Beth made a quick grocery",trip,0.27
11,"Pressed for time, Beth made a quick grocery",list,0.18
11,"Pressed for time, Beth made a quick grocery",stop,0.17
11,"Pressed for time, Beth made a quick grocery",visit,0.02
12,"A village was discovered between the mountains, in a",valley,0.76
12,"A village was discovered between the mountains, in a",cave,0.06
12,"A village was discovered between the mountains, in a",ravine,0.03
12,"A village was discovered between the mountains, in a",private place,0.01
12,"A village was discovered between the mountains, in a",circle,0.01
12,"A village was discovered between the mountains, in a",river,0.01
12,"A village was discovered between the mountains, in a",cavern,0.01
12,"A village was discovered between the mountains, in a",field,0.01
12,"A village was discovered between the mountains, in a",nadir,0.01
12,"A village was discovered between the mountains, in a",tunnel,0.01
12,"A village was discovered between the mountains, in a",community,0.01
12,"A village was discovered between the mountains, in a",jungle,0.01
12,"A village was discovered between the mountains, in a",gap,0.01
12,"A village was discovered between the mountains, in a",foreign,0.01
12,"A village was discovered between the mountains, in a",forest,0.01
12,"A village was discovered between the mountains, in a",cliff,0.01
12,"A village was discovered between the mountains, in a",town,0.01
13,David lost tug-of-war because he was too tired to,pull,0.82
13,David lost tug-of-war because he was too tired to,play,0.06
13,David lost tug-of-war because he was too tired to,care,0.03
13,David lost tug-of-war because he was too tired to,fight,0.02
13,David lost tug-of-war because he was too tired to,compete,0.02
13,David lost tug-of-war because he was too tired to,stand,0.01
13,David lost tug-of-war because he was too tired to,give it his best,0.01
13,David lost tug-of-war because he was too tired to,grip,0.01
13,David lost tug-of-war because he was too tired to,weak,0.01
14,The patient was angry for receiving the wrong,medicine,0.32
14,The patient was angry for receiving the wrong,medication,0.29
14,The patient was angry for receiving the wrong,diagnosis,0.1
14,The patient was angry for receiving the wrong,treatment,0.06
14,The patient was angry for receiving the wrong,dose,0.03
14,The patient was angry for receiving the wrong,prescription,0.03
14,The patient was angry for receiving the wrong,pills,0.02
14,The patient was angry for receiving the wrong,drug,0.02
14,The patient was angry for receiving the wrong,info,0.02
14,The patient was angry for receiving the wrong,cure,0.01
14,The patient was angry for receiving the wrong,dosage,0.01
14,The patient was angry for receiving the wrong,message,0.01
14,The patient was angry for receiving the wrong,number,0.01
14,The patient was angry for receiving the wrong,information,0.01
14,The patient was angry for receiving the wrong,results,0.01
14,The patient was angry for receiving the wrong,lunch,0.01
14,The patient was angry for receiving the wrong,advice,0.01
14,The patient was angry for receiving the wrong,refund,0.01
14,The patient was angry for receiving the wrong,papers,0.01
15,Paige thought the color of the wall was rather,dull,0.34
15,Paige thought the color of the wall was rather,bland,0.17
15,Paige thought the color of the wall was rather,drab,0.08
15,Paige thought the color of the wall was rather,boring,0.07
15,Paige thought the color of the wall was rather,bright,0.06
15,Paige thought the color of the wall was rather,ugly,0.05
15,Paige thought the color of the wall was rather,plain,0.04
15,Paige thought the color of the wall was rather,pretty,0.02
15,Paige thought the color of the wall was rather,odd,0.02
15,Paige thought the color of the wall was rather,dark,0.02
15,Paige thought the color of the wall was rather,loud,0.02
15,Paige thought the color of the wall was rather,inspiring,0.01
15,Paige thought the color of the wall was rather,unique,0.01
15,Paige thought the color of the wall was rather,cool,0.01
15,Paige thought the color of the wall was rather,dreary,0.01
15,Paige thought the color of the wall was rather,vibrant,0.01
15,Paige thought the color of the wall was rather,soothing,0.01
15,Paige thought the color of the wall was rather,institutional,0.01
15,Paige thought the color of the wall was rather,blah,0.01
15,Paige thought the color of the wall was rather,dry,0.01
15,Paige thought the color of the wall was rather,red,0.01
16,The stockholders meeting started after a short,break,0.28
16,The stockholders meeting started after a short,delay,0.12
16,The stockholders meeting started after a short,recess,0.1
16,The stockholders meeting started after a short,introduction,0.07
16,The stockholders meeting started after a short,speech,0.05
16,The stockholders meeting started after a short,presentation,0.04
16,The stockholders meeting started after a short,lunch,0.04
16,The stockholders meeting started after a short,video,0.03
16,The stockholders meeting started after a short,prayer,0.03
16,The stockholders meeting started after a short,time,0.02
16,The stockholders meeting started after a short,chat,0.02
16,The stockholders meeting started after a short,pause,0.02
16,The stockholders meeting started after a short,breakfast,0.02
16,The stockholders meeting started after a short,wait,0.02
16,The stockholders meeting started after a short,interruption,0.01
16,The stockholders meeting started after a short,fall,0.01
16,The stockholders meeting started after a short,visit,0.01
16,The stockholders meeting started after a short,intermission,0.01
16,The stockholders meeting started after a short,lull,0.01
16,The stockholders meeting started after a short,brief,0.01
16,The stockholders meeting started after a short,nap,0.01
16,The stockholders meeting started after a short,lecture,0.01
16,The stockholders meeting started after a short,announcement,0.01
16,The stockholders meeting started after a short,argument,0.01
16,The stockholders meeting started after a short,reception,0.01
16,The stockholders meeting started after a short,meeting,0.01
16,The stockholders meeting started after a short,message,0.01
16,The stockholders meeting started after a short,piece,0.01
17,"A gardener, Harry likes to fertilize plants with",manure,0.34
17,"A gardener, Harry likes to fertilize plants with",fertilizer,0.1
17,"A gardener, Harry likes to fertilize plants with",compost,0.1
17,"A gardener, Harry likes to fertilize plants with",poop,0.07
17,"A gardener, Harry likes to fertilize plants with",soil,0.05
17,"A gardener, Harry likes to fertilize plants with",dung,0.04
17,"A gardener, Harry likes to fertilize plants with",mulch,0.04
17,"A gardener, Harry likes to fertilize plants with",dirt,0.03
17,"A gardener, Harry likes to fertilize plants with",eggs,0.02
17,"A gardener, Harry likes to fertilize plants with",water,0.02
17,"A gardener, Harry likes to fertilize plants with",coffee,0.02
17,"A gardener, Harry likes to fertilize plants with",tomatoes,0.01
17,"A gardener, Harry likes to fertilize plants with",salt,0.01
17,"A gardener, Harry likes to fertilize plants with",chemicals,0.01
17,"A gardener, Harry likes to fertilize plants with",nitrogen,0.01
17,"A gardener, Harry likes to fertilize plants with",grounds,0.01
17,"A gardener, Harry likes to fertilize plants with",pee,0.01
17,"A gardener, Harry likes to fertilize plants with",lime,0.01
17,"A gardener, Harry likes to fertilize plants with",eggshells,0.01
17,"A gardener, Harry likes to fertilize plants with",guano,0.01
17,"A gardener, Harry likes to fertilize plants with",spray,0.01
17,"A gardener, Harry likes to fertilize plants with",worm juice,0.01
17,"A gardener, Harry likes to fertilize plants with",seeds,0.01
17,"A gardener, Harry likes to fertilize plants with",sugar,0.01
17,"A gardener, Harry likes to fertilize plants with",sand,0.01
17,"A gardener, Harry likes to fertilize plants with",tea,0.01
17,"A gardener, Harry likes to fertilize plants with",shells,0.01
17,"A gardener, Harry likes to fertilize plants with",nitrate,0.01
18,Josie drank a large glass of milk every,day,0.52
18,Josie drank a large glass of milk every,morning,0.39
18,Josie drank a large glass of milk every,night,0.04
18,Josie drank a large glass of milk every,evening,0.02
18,Josie drank a large glass of milk every,hour,0.01
19,"Running low on cookies, the bakery needed a new",batch,0.54
19,"Running low on cookies, the bakery needed a new",oven,0.13
19,"Running low on cookies, the bakery needed a new",baker,0.13
19,"Running low on cookies, the bakery needed a new",chef,0.03
19,"Running low on cookies, the bakery needed a new",employees,0.03
19,"Running low on cookies, the bakery needed a new",dessert,0.02
19,"Running low on cookies, the bakery needed a new",recipe,0.02
19,"Running low on cookies, the bakery needed a new",dozen,0.01
19,"Running low on cookies, the bakery needed a new",promotion,0.01
19,"Running low on cookies, the bakery needed a new",item,0.01
19,"Running low on cookies, the bakery needed a new",stock,0.01
19,"Running low on cookies, the bakery needed a new",mixer,0.01
19,"Running low on cookies, the bakery needed a new",supply,0.01
19,"Running low on cookies, the bakery needed a new",shipment,0.01
19,"Running low on cookies, the bakery needed a new",cook,0.01
19,"Running low on cookies, the bakery needed a new",source,0.01
20,The clothier grabbed a bolt of cloth from the,shelf,0.29
20,The clothier grabbed a bolt of cloth from the,rack,0.22
20,The clothier grabbed a bolt of cloth from the,closet,0.1
20,The clothier grabbed a bolt of cloth from the,back,0.06
20,The clothier grabbed a bolt of cloth from the,table,0.06
20,The clothier grabbed a bolt of cloth from the,store,0.04
20,The clothier grabbed a bolt of cloth from the,roll,0.03
20,The clothier grabbed a bolt of cloth from the,storeroom,0.03
20,The clothier grabbed a bolt of cloth from the,bin,0.02
20,The clothier grabbed a bolt of cloth from the,pile,0.01
20,The clothier grabbed a bolt of cloth from the,room,0.01
20,The clothier grabbed a bolt of cloth from the,wheel,0.01
20,The clothier grabbed a bolt of cloth from the,storage,0.01
20,The clothier grabbed a bolt of cloth from the,cabinet,0.01
20,The clothier grabbed a bolt of cloth from the,reem,0.01
20,The clothier grabbed a bolt of cloth from the,counter,0.01
20,The clothier grabbed a bolt of cloth from the,shed,0.01
20,The clothier grabbed a bolt of cloth from the,spool,0.01
20,The clothier grabbed a bolt of cloth from the,stack,0.01
20,The clothier grabbed a bolt of cloth from the,dryer,0.01
20,The clothier grabbed a bolt of cloth from the,box,0.01
20,The clothier grabbed a bolt of cloth from the,display,0.01
20,The clothier grabbed a bolt of cloth from the,wall,0.01
21,The reckless driver drove too quickly around the,corner,0.42
21,The reckless driver drove too quickly around the,bend,0.18
21,The reckless driver drove too quickly around the,curve,0.14
21,The reckless driver drove too quickly around the,turn,0.13
21,The reckless driver drove too quickly around the,block,0.05
21,The reckless driver drove too quickly around the,circle,0.03
21,The reckless driver drove too quickly around the,roundabout,0.01
21,The reckless driver drove too quickly around the,ledge,0.01
21,The reckless driver drove too quickly around the,street,0.01
21,The reckless driver drove too quickly around the,sign,0.01
22,The girls made beautiful designs on the street with,chalk,0.83
22,The girls made beautiful designs on the street with,paint,0.05
22,The girls made beautiful designs on the street with,crayons,0.03
22,The girls made beautiful designs on the street with,paper,0.02
22,The girls made beautiful designs on the street with,flowers,0.02
22,The girls made beautiful designs on the street with,posters,0.01
22,The girls made beautiful designs on the street with,paintcans,0.01
22,The girls made beautiful designs on the street with,pride,0.01
22,The girls made beautiful designs on the street with,fabric,0.01
23,Tom was told that this particular plant was a,fern,0.14
23,Tom was told that this particular plant was a,rose,0.09
23,Tom was told that this particular plant was a,weed,0.08
23,Tom was told that this particular plant was a,poisonous,0.08
23,Tom was told that this particular plant was a,perennial,0.05
23,Tom was told that this particular plant was a,rare,0.04
23,Tom was told that this particular plant was a,cactus,0.04
23,Tom was told that this particular plant was a,hybrid,0.03
23,Tom was told that this particular plant was a,succulent,0.03
23,Tom was told that this particular plant was a,ficus,0.02
23,Tom was told that this particular plant was a,venus fly trap,0.02
23,Tom was told that this particular plant was a,hibiscus,0.02
23,Tom was told that this particular plant was a,rarity,0.02
23,Tom was told that this particular plant was a,flower,0.02
23,Tom was told that this particular plant was a,geranium,0.02
23,Tom was told that this particular plant was a,peony,0.01
23,Tom was told that this particular plant was a,mandrake,0.01
23,Tom was told that this particular plant was a,green,0.01
23,Tom was told that this particular plant was a,prize,0.01
23,Tom was told that this particular plant was a,nice one,0.01
23,Tom was told that this particular plant was a,bitter,0.01
23,Tom was told that this particular plant was a,petunia,0.01
23,Tom was told that this particular plant was a,drug,0.01
23,Tom was told that this particular plant was a,dangerous,0.01
23,Tom was told that this particular plant was a,failure,0.01
23,Tom was told that this particular plant was a,toxic one,0.01
23,Tom was told that this particular plant was a,young one,0.01
23,Tom was told that this particular plant was a,possessions,0.01
23,Tom was told that this particular plant was a,shrub,0.01
23,Tom was told that this particular plant was a,mum,0.01
23,Tom was told that this particular plant was a,gem,0.01
23,Tom was told that this particular plant was a,carnivore,0.01
23,Tom was told that this particular plant was a,tulip,0.01
23,Tom was told that this particular plant was a,bean,0.01
23,Tom was told that this particular plant was a,onimental,0.01
23,Tom was told that this particular plant was a,dahlia,0.01
23,Tom was told that this particular plant was a,annual,0.01
23,Tom was told that this particular plant was a,beauty,0.01
23,Tom was told that this particular plant was a,snapdragon,0.01
23,Tom was told that this particular plant was a,clone,0.01
23,Tom was told that this particular plant was a,loner,0.01
23,Tom was told that this particular plant was a,large,0.01
23,Tom was told that this particular plant was a,rhododendrum,0.01
23,Tom was told that this particular plant was a,hazard,0.01
23,Tom was told that this particular plant was a,dirty,0.01
23,Tom was told that this particular plant was a,tree,0.01
24,You could be seriously injured by a horse,kick,0.54
24,You could be seriously injured by a horse,hoof,0.1
24,You could be seriously injured by a horse,fall,0.06
24,You could be seriously injured by a horse,accident,0.04
24,You could be seriously injured by a horse,jump,0.03
24,You could be seriously injured by a horse,throwing you,0.03
24,You could be seriously injured by a horse,bite,0.03
24,You could be seriously injured by a horse,bucking,0.03
24,You could be seriously injured by a horse,foot,0.02
24,You could be seriously injured by a horse,leg,0.01
24,You could be seriously injured by a horse,running,0.01
24,You could be seriously injured by a horse,race,0.01
24,You could be seriously injured by a horse,cart,0.01
24,You could be seriously injured by a horse,attack,0.01
24,You could be seriously injured by a horse,huff,0.01
24,You could be seriously injured by a horse,charging,0.01
24,You could be seriously injured by a horse,trampling,0.01
24,You could be seriously injured by a horse,shoe,0.01
24,You could be seriously injured by a horse,'s kick,0.01
24,You could be seriously injured by a horse,wagon,0.01
25,"As Aiden aged, he began to lose his",hair,0.48
25,"As Aiden aged, he began to lose his",eyesight,0.09
25,"As Aiden aged, he began to lose his",mind,0.08
25,"As Aiden aged, he began to lose his",memory,0.06
25,"As Aiden aged, he began to lose his",teeth,0.05
25,"As Aiden aged, he began to lose his",fat,0.03
25,"As Aiden aged, he began to lose his",looks,0.03
25,"As Aiden aged, he began to lose his",vision,0.02
25,"As Aiden aged, he began to lose his",strength,0.02
25,"As Aiden aged, he began to lose his",temper,0.02
25,"As Aiden aged, he began to lose his",innocence,0.02
25,"As Aiden aged, he began to lose his",fear,0.01
25,"As Aiden aged, he began to lose his",bravado,0.01
25,"As Aiden aged, he began to lose his",balance,0.01
25,"As Aiden aged, he began to lose his",smell,0.01
25,"As Aiden aged, he began to lose his",hearing,0.01
25,"As Aiden aged, he began to lose his",energy,0.01
25,"As Aiden aged, he began to lose his",humor,0.01
25,"As Aiden aged, he began to lose his",youth,0.01
25,"As Aiden aged, he began to lose his",appeal,0.01
25,"As Aiden aged, he began to lose his",luster,0.01
26,The horse broke the fence by kicking out his,legs,0.34
26,The horse broke the fence by kicking out his,feet,0.16
26,The horse broke the fence by kicking out his,stall,0.13
26,The horse broke the fence by kicking out his,hooves,0.1
26,The horse broke the fence by kicking out his,gate,0.08
26,The horse broke the fence by kicking out his,hoof,0.06
26,The horse broke the fence by kicking out his,door,0.01
26,The horse broke the fence by kicking out his,shoe,0.01
26,The horse broke the fence by kicking out his,reigns,0.01
26,The horse broke the fence by kicking out his,back legs,0.01
26,The horse broke the fence by kicking out his,hindlegs,0.01
26,The horse broke the fence by kicking out his,saddle,0.01
26,The horse broke the fence by kicking out his,fence,0.01
26,The horse broke the fence by kicking out his,slats,0.01
26,The horse broke the fence by kicking out his,harness,0.01
26,The horse broke the fence by kicking out his,pen,0.01
26,The horse broke the fence by kicking out his,way,0.01
26,The horse broke the fence by kicking out his,dish,0.01
26,The horse broke the fence by kicking out his,post,0.01
27,"After a long workday, Jack was excited to",relax,0.29
27,"After a long workday, Jack was excited to",leave,0.17
27,"After a long workday, Jack was excited to",sleep,0.17
27,"After a long workday, Jack was excited to",rest,0.12
27,"After a long workday, Jack was excited to",chill,0.03
27,"After a long workday, Jack was excited to",go home,0.02
27,"After a long workday, Jack was excited to",exercise,0.02
27,"After a long workday, Jack was excited to",quit,0.02
27,"After a long workday, Jack was excited to",drink,0.02
27,"After a long workday, Jack was excited to",unwind,0.02
27,"After a long workday, Jack was excited to",party,0.02
27,"After a long workday, Jack was excited to",swim,0.01
27,"After a long workday, Jack was excited to",nap,0.01
27,"After a long workday, Jack was excited to",stop,0.01
27,"After a long workday, Jack was excited to",be home,0.01
27,"After a long workday, Jack was excited to",clock out,0.01
27,"After a long workday, Jack was excited to",run,0.01
27,"After a long workday, Jack was excited to",play,0.01
27,"After a long workday, Jack was excited to",dance,0.01
28,Daniel loved Annie and couldn't help but,smile,0.37
28,Daniel loved Annie and couldn't help but,cry,0.09
28,Daniel loved Annie and couldn't help but,stare,0.07
28,Daniel loved Annie and couldn't help but,care,0.06
28,Daniel loved Annie and couldn't help but,propose,0.05
28,Daniel loved Annie and couldn't help but,blush,0.03
28,Daniel loved Annie and couldn't help but,swoon,0.03
28,Daniel loved Annie and couldn't help but,wonder,0.03
28,Daniel loved Annie and couldn't help but,gush,0.02
28,Daniel loved Annie and couldn't help but,laugh,0.02
28,Daniel loved Annie and couldn't help but,admire,0.02
28,Daniel loved Annie and couldn't help but,worry,0.02
28,Daniel loved Annie and couldn't help but,beam,0.02
28,Daniel loved Annie and couldn't help but,feel,0.01
28,Daniel loved Annie and couldn't help but,do,0.01
