story,trigger,query,Total Responses,Zero Responses,Negative Responses,Proportion
salad,lettuce,tuna,18.0,11.0,7.0,0.3888888888888889
salad,meat,tuna,3.0,2.0,1.0,0.3333333333333333
salad,tuna,dressing,5.0,2.0,3.0,0.4
salad,tuna,meat,5.0,1.0,4.0,0.2
science,art,math,20.0,6.0,14.0,0.3
science,art,philosophy,18.0,7.0,11.0,0.3888888888888889
science,art,zoology,5.0,1.0,4.0,0.2
science,geology,art,5.0,2.0,3.0,0.4
science,geology,math,6.0,1.0,5.0,0.16666666666666666
science,geology,philosophy,3.0,1.0,2.0,0.3333333333333333
science,math,art,2.0,1.0,1.0,0.5
science,math,geology,4.0,1.0,3.0,0.25
science,math,philosophy,5.0,3.0,2.0,0.4
science,math,physics,4.0,2.0,2.0,0.5
science,math,zoology,5.0,1.0,4.0,0.2
science,philosophy,geology,5.0,1.0,4.0,0.2
science,philosophy,math,16.0,5.0,11.0,0.3125
science,philosophy,zoology,6.0,1.0,5.0,0.16666666666666666
science,physics,art,5.0,3.0,2.0,0.4
science,physics,geology,21.0,3.0,18.0,0.14285714285714285
science,physics,math,3.0,2.0,1.0,0.3333333333333333
science,physics,philosophy,3.0,2.0,1.0,0.3333333333333333
science,physics,zoology,20.0,7.0,13.0,0.35
science,zoology,art,3.0,1.0,2.0,0.3333333333333333
science,zoology,geology,4.0,1.0,3.0,0.25
science,zoology,math,5.0,3.0,2.0,0.4
science,zoology,philosophy,6.0,2.0,4.0,0.3333333333333333
throw,a beach ball,a boomerang,19.0,7.0,12.0,0.3684210526315789
throw,a boomerang,a beach ball,4.0,1.0,3.0,0.25
throw,a football,a beach ball,16.0,2.0,14.0,0.125
throw,a football,a boomerang,21.0,8.0,13.0,0.38095238095238093
throw,a lawnmower,a boomerang,5.0,1.0,4.0,0.2
throw,a lawnmower,a shovel,21.0,14.0,7.0,0.3333333333333333
throw,a lawnmower,tires,13.0,12.0,1.0,0.07692307692307693
throw,a shovel,a beach ball,4.0,1.0,3.0,0.25
throw,a shovel,a boomerang,5.0,2.0,3.0,0.4
throw,a shovel,tires,16.0,14.0,2.0,0.125
throw,tires,a beach ball,5.0,2.0,3.0,0.4
throw,tires,a football,5.0,1.0,4.0,0.2
throw,tires,a lawnmower,5.0,1.0,4.0,0.2
throw,tires,a shovel,6.0,4.0,2.0,0.3333333333333333
transport,a car,a hammer,5.0,4.0,1.0,0.2
transport,a car,a lawnmower,4.0,3.0,1.0,0.25
transport,a car,a motorcycle,21.0,2.0,19.0,0.09523809523809523
transport,a car,roller blades,16.0,7.0,9.0,0.4375
transport,a hammer,a car,5.0,2.0,3.0,0.4
transport,a hammer,a lawnmower,18.0,8.0,10.0,0.4444444444444444
transport,a hammer,a motorcycle,4.0,2.0,2.0,0.5
transport,a hammer,chairs,15.0,14.0,1.0,0.06666666666666667
transport,a hammer,roller blades,5.0,1.0,4.0,0.2
transport,a lawnmower,a hammer,4.0,3.0,1.0,0.25
transport,a lawnmower,chairs,5.0,4.0,1.0,0.2
transport,a lawnmower,roller blades,4.0,2.0,2.0,0.5
transport,a motorcycle,a car,5.0,1.0,4.0,0.2
transport,a motorcycle,roller blades,13.0,6.0,7.0,0.46153846153846156
transport,chairs,a lawnmower,22.0,20.0,2.0,0.09090909090909091
transport,chairs,a motorcycle,5.0,2.0,3.0,0.4
transport,chairs,roller blades,3.0,1.0,2.0,0.3333333333333333
transport,roller blades,a hammer,5.0,4.0,1.0,0.2
transport,roller blades,chairs,2.0,1.0,1.0,0.5
