"id","story","trigger","trigger_relevance","query","query_relevance","response","neg","set","scale","region","set_model","ordering_model","conjunction_model","disjunction_model"
"A16335MOISDG1F","bakery","cakes",0,"sandwiches",4,-1,1,"outside","below","C",0,0,0,0
"A16335MOISDG1F","salad","dressing",1,"cigarettes",5,0,0,"outside","below","C",0,0,0,0
"A16335MOISDG1F","restaurant","cake",4,"salad",5,0,0,"outside","below","C",0,0,0,0
"A16335MOISDG1F","gym","swimming",3,"meditation",5,0,0,"outside","below","C",0,0,0,0
"A16335MOISDG1F","science","art",5,"math",3,-1,1,"outside","above","D",0,-1,0,-1
"A16335MOISDG1F","throw","a lawnmower",5,"a shovel",4,0,0,"outside","above","D",0,-1,0,-1
"A16335MOISDG1F","beach","a jacket",4,"jeans",3,0,0,"outside","above","D",0,-1,0,-1
"A16335MOISDG1F","hot","a heater",5,"a couch",3,0,0,"outside","above","D",0,-1,0,-1
"A16335MOISDG1F","cold","blankets",1,"tea",2,0,0,"inside","below","A",-1,0,0,-1
"A16335MOISDG1F","transport","a car",0,"a motorcycle",1,-1,1,"inside","below","A",-1,0,0,-1
"A16335MOISDG1F","cut","scissors",0,"keys",2,0,0,"inside","below","A",-1,0,0,-1
"A16335MOISDG1F","mask","a handkerchief",1,"napkins",2,-1,1,"inside","below","A",-1,0,0,-1
"A16335MOISDG1F","meat","rice",5,"turkey",1,-1,1,"inside","above","B",-1,-1,-1,-1
"A16Z9FSSF1X74O","fridge","water",0,"ketchup",4,0,0,"outside","below","C",0,0,0,0
"A16Z9FSSF1X74O","bag","crayons",1,"headphones",5,0,0,"outside","below","C",0,0,0,0
"A16Z9FSSF1X74O","mall","a gift shop",4,"an electronics store",5,0,0,"outside","below","C",0,0,0,0
"A16Z9FSSF1X74O","bakery","pretzels",3,"water",5,0,0,"outside","below","C",0,0,0,0
"A16Z9FSSF1X74O","salad","cigarettes",5,"meat",3,0,0,"outside","above","D",0,-1,0,-1
"A16Z9FSSF1X74O","restaurant","salad",5,"cake",4,0,0,"outside","above","D",0,-1,0,-1
"A16Z9FSSF1X74O","gym","weightlifting",4,"swimming",3,0,0,"outside","above","D",0,-1,0,-1
"A16Z9FSSF1X74O","science","art",5,"math",3,-1,1,"outside","above","D",0,-1,0,-1
"A16Z9FSSF1X74O","throw","a beach ball",1,"a boomerang",2,-1,1,"inside","below","A",-1,0,0,-1
"A16Z9FSSF1X74O","beach","a bikini",0,"shorts",1,0,0,"inside","below","A",-1,0,0,-1
"A16Z9FSSF1X74O","hot","a fan",0,"a shower",2,0,0,"inside","below","A",-1,0,0,-1
"A16Z9FSSF1X74O","cold","blankets",1,"tea",2,0,0,"inside","below","A",-1,0,0,-1
"A16Z9FSSF1X74O","transport","a hammer",5,"a motorcycle",1,-1,1,"inside","above","B",-1,-1,-1,-1
"A16Z9FSSF1X74O","cut","a stapler",4,"scissors",0,-1,1,"inside","above","B",-1,-1,-1,-1
"A16Z9FSSF1X74O","mask","gloves",3,"napkins",2,0,0,"inside","above","B",-1,-1,-1,-1
"A16Z9FSSF1X74O","meat","turkey",1,"chicken",0,-1,1,"inside","above","B",-1,-1,-1,-1
"A25VPV47HCP6DX","fridge","meat",5,"ketchup",4,0,0,"outside","above","D",0,-1,0,-1
"A25VPV47HCP6DX","bag","cash",4,"makeup",3,0,0,"outside","above","D",0,-1,0,-1
"A25VPV47HCP6DX","mall","an electronics store",5,"a grocery store",3,-1,1,"outside","above","D",0,-1,0,-1
"A25VPV47HCP6DX","bakery","ice cream",1,"muffins",2,0,0,"inside","below","A",-1,0,0,-1
"A25VPV47HCP6DX","salad","lettuce",0,"dressing",1,-1,1,"inside","below","A",-1,0,0,-1
"A25VPV47HCP6DX","restaurant","cocktails",0,"soda",2,0,0,"inside","below","A",-1,0,0,-1
"A25VPV47HCP6DX","gym","softball",1,"lacrosse",2,-1,1,"inside","below","A",-1,0,0,-1
"A25VPV47HCP6DX","science","art",5,"geology",1,-1,1,"inside","above","B",-1,-1,-1,-1
"A25VPV47HCP6DX","throw","a shovel",4,"a football",0,-1,1,"inside","above","B",-1,-1,-1,-1
"A25VPV47HCP6DX","beach","jeans",3,"sunglasses",2,0,0,"inside","above","B",-1,-1,-1,-1
"A25VPV47HCP6DX","hot","a pool",1,"a fan",0,0,0,"inside","above","B",-1,-1,-1,-1
"A25VPV47HCP6DX","cold","tea",2,"a sink",4,0,0,"outside","below","C",0,0,0,0
"A25VPV47HCP6DX","transport","a motorcycle",1,"chairs",4,0,0,"outside","below","C",0,0,0,0
"A25VPV47HCP6DX","cut","scissors",0,"thumb tacks",3,0,0,"outside","below","C",0,0,0,0
"A25VPV47HCP6DX","mask","a bandana",0,"candy",5,0,0,"outside","below","C",0,0,0,0
"A25VPV47HCP6DX","meat","rice",5,"mushrooms",4,0,0,"outside","above","D",0,-1,0,-1
"A2ZDEERVRN5AMC","fridge","yogurt",3,"meat",5,0,0,"outside","below","C",0,0,0,0
"A2ZDEERVRN5AMC","bag","headphones",5,"makeup",3,0,0,"outside","above","D",0,-1,0,-1
"A2ZDEERVRN5AMC","mall","an electronics store",5,"a gift shop",4,0,0,"outside","above","D",0,-1,0,-1
"A2ZDEERVRN5AMC","bakery","sandwiches",4,"pretzels",3,0,0,"outside","above","D",0,-1,0,-1
"A2ZDEERVRN5AMC","salad","cigarettes",5,"meat",3,-1,1,"outside","above","D",0,-1,0,-1
"A2ZDEERVRN5AMC","restaurant","vodka",1,"soda",2,-1,1,"inside","below","A",-1,0,0,-1
"A2ZDEERVRN5AMC","gym","basketball",0,"softball",1,-1,1,"inside","below","A",-1,0,0,-1
"A2ZDEERVRN5AMC","science","physics",0,"zoology",2,0,0,"inside","below","A",-1,0,0,-1
"A2ZDEERVRN5AMC","throw","a beach ball",1,"a boomerang",2,-1,1,"inside","below","A",-1,0,0,-1
"A2ZDEERVRN5AMC","beach","a coat",5,"shorts",1,-1,1,"inside","above","B",-1,-1,-1,-1
"A2ZDEERVRN5AMC","hot","blankets",4,"a fan",0,0,0,"inside","above","B",-1,-1,-1,-1
"A2ZDEERVRN5AMC","cold","a microwave",3,"tea",2,-1,1,"inside","above","B",-1,-1,-1,-1
"A2ZDEERVRN5AMC","transport","a motorcycle",1,"a car",0,-1,1,"inside","above","B",-1,-1,-1,-1
"A2ZDEERVRN5AMC","cut","keys",2,"a stapler",4,-1,1,"outside","below","C",0,0,0,0
"A2ZDEERVRN5AMC","mask","a handkerchief",1,"a wallet",4,0,0,"outside","below","C",0,0,0,0
"A2ZDEERVRN5AMC","meat","chicken",0,"tofu",3,0,0,"outside","below","C",0,0,0,0
"ANVAFB99K5RKP","fridge","ketchup",4,"milk",2,-1,1,"inside","above","B",-1,-1,-1,-1
"ANVAFB99K5RKP","bag","crayons",1,"makeup",3,0,0,"outside","below","C",0,0,0,0
"ANVAFB99K5RKP","mall","a grocery store",3,"a gift shop",4,-1,1,"outside","below","C",0,0,0,0
"ANVAFB99K5RKP","bakery","muffins",2,"pretzels",3,-1,1,"outside","below","C",0,0,0,0
"ANVAFB99K5RKP","salad","tuna",2,"cigarettes",5,0,0,"outside","below","C",0,0,0,0
"ANVAFB99K5RKP","restaurant","cake",4,"soup",3,-1,1,"outside","above","D",0,-1,0,-1
"ANVAFB99K5RKP","gym","meditation",5,"swimming",3,-1,1,"outside","above","D",0,-1,0,-1
"ANVAFB99K5RKP","science","art",5,"philosophy",4,-1,1,"outside","above","D",0,-1,0,-1
"ANVAFB99K5RKP","throw","a shovel",4,"tires",3,0,0,"outside","above","D",0,-1,0,-1
"ANVAFB99K5RKP","beach","a bikini",0,"sunglasses",2,0,0,"inside","below","A",-1,0,0,-1
"ANVAFB99K5RKP","hot","a pool",1,"a shower",2,-1,1,"inside","below","A",-1,0,0,-1
"ANVAFB99K5RKP","cold","a heater",0,"blankets",1,-1,1,"inside","below","A",-1,0,0,-1
"ANVAFB99K5RKP","transport","a car",0,"roller blades",2,-1,1,"inside","below","A",-1,0,0,-1
"ANVAFB99K5RKP","cut","batteries",5,"scissors",0,-1,1,"inside","above","B",-1,-1,-1,-1
"ANVAFB99K5RKP","mask","gloves",3,"a handkerchief",1,-1,1,"inside","above","B",-1,-1,-1,-1
"ANVAFB99K5RKP","meat","crab",2,"chicken",0,-1,1,"inside","above","B",-1,-1,-1,-1
"A1F1BIPJR11LSR","fridge","meat",5,"ketchup",4,0,0,"outside","above","D",0,-1,0,-1
"A1F1BIPJR11LSR","bag","a pen",0,"crayons",1,-1,1,"inside","below","A",-1,0,0,-1
"A1F1BIPJR11LSR","mall","a burger joint",0,"a coffee shop",2,-1,1,"inside","below","A",-1,0,0,-1
"A1F1BIPJR11LSR","bakery","ice cream",1,"muffins",2,-1,1,"inside","below","A",-1,0,0,-1
"A1F1BIPJR11LSR","salad","lettuce",0,"dressing",1,0,0,"inside","below","A",-1,0,0,-1
"A1F1BIPJR11LSR","restaurant","salad",5,"soda",2,-1,1,"inside","above","B",-1,-1,-1,-1
"A1F1BIPJR11LSR","gym","swimming",3,"basketball",0,-1,1,"inside","above","B",-1,-1,-1,-1
"A1F1BIPJR11LSR","science","philosophy",4,"geology",1,-1,1,"inside","above","B",-1,-1,-1,-1
"A1F1BIPJR11LSR","throw","a shovel",4,"a boomerang",2,-1,1,"inside","above","B",-1,-1,-1,-1
"A1F1BIPJR11LSR","beach","shorts",1,"jeans",3,-1,1,"outside","below","C",0,0,0,0
"A1F1BIPJR11LSR","hot","a couch",3,"blankets",4,-1,1,"outside","below","C",0,0,0,0
"A1F1BIPJR11LSR","cold","tea",2,"a microwave",3,0,0,"outside","below","C",0,0,0,0
"A1F1BIPJR11LSR","transport","roller blades",2,"a hammer",5,-1,1,"outside","below","C",0,0,0,0
"A1F1BIPJR11LSR","cut","a stapler",4,"thumb tacks",3,0,0,"outside","above","D",0,-1,0,-1
"A1F1BIPJR11LSR","mask","candy",5,"gloves",3,0,0,"outside","above","D",0,-1,0,-1
"A1F1BIPJR11LSR","meat","rice",5,"mushrooms",4,0,0,"outside","above","D",0,-1,0,-1
"A1R0DIJHIE1LOC","fridge","milk",2,"ketchup",4,0,0,"outside","below","C",0,0,0,0
"A1R0DIJHIE1LOC","bag","crayons",1,"cash",4,0,0,"outside","below","C",0,0,0,0
"A1R0DIJHIE1LOC","mall","a burger joint",0,"a grocery store",3,-1,1,"outside","below","C",0,0,0,0
"A1R0DIJHIE1LOC","bakery","cakes",0,"water",5,0,0,"outside","below","C",0,0,0,0
"A1R0DIJHIE1LOC","salad","cigarettes",5,"chips",4,0,0,"outside","above","D",0,-1,0,-1
"A1R0DIJHIE1LOC","restaurant","cake",4,"soup",3,-1,1,"outside","above","D",0,-1,0,-1
"A1R0DIJHIE1LOC","gym","meditation",5,"swimming",3,-1,1,"outside","above","D",0,-1,0,-1
"A1R0DIJHIE1LOC","science","art",5,"philosophy",4,-1,1,"outside","above","D",0,-1,0,-1
"A1R0DIJHIE1LOC","throw","a football",0,"a beach ball",1,-1,1,"inside","below","A",-1,0,0,-1
"A1R0DIJHIE1LOC","beach","a bikini",0,"sunglasses",2,0,0,"inside","below","A",-1,0,0,-1
"A1R0DIJHIE1LOC","hot","a pool",1,"a shower",2,-1,1,"inside","below","A",-1,0,0,-1
"A1R0DIJHIE1LOC","cold","a heater",0,"blankets",1,-1,1,"inside","below","A",-1,0,0,-1
"A1R0DIJHIE1LOC","transport","a hammer",5,"roller blades",2,0,0,"inside","above","B",-1,-1,-1,-1
"A1R0DIJHIE1LOC","cut","thumb tacks",3,"scissors",0,-1,1,"inside","above","B",-1,-1,-1,-1
"A1R0DIJHIE1LOC","mask","a wallet",4,"a handkerchief",1,0,0,"inside","above","B",-1,-1,-1,-1
"A1R0DIJHIE1LOC","meat","mushrooms",4,"crab",2,-1,1,"inside","above","B",-1,-1,-1,-1
"A2T5CROJ0FWIJY","fridge","juice",1,"milk",2,-1,1,"inside","below","A",-1,0,0,-1
"A2T5CROJ0FWIJY","bag","headphones",5,"crayons",1,-1,1,"inside","above","B",-1,-1,-1,-1
"A2T5CROJ0FWIJY","mall","a gift shop",4,"a burger joint",0,-1,1,"inside","above","B",-1,-1,-1,-1
"A2T5CROJ0FWIJY","bakery","pretzels",3,"muffins",2,-1,1,"inside","above","B",-1,-1,-1,-1
"A2T5CROJ0FWIJY","salad","dressing",1,"lettuce",0,-1,1,"inside","above","B",-1,-1,-1,-1
"A2T5CROJ0FWIJY","restaurant","soda",2,"cake",4,0,0,"outside","below","C",0,0,0,0
"A2T5CROJ0FWIJY","gym","softball",1,"weightlifting",4,0,0,"outside","below","C",0,0,0,0
"A2T5CROJ0FWIJY","science","physics",0,"math",3,0,0,"outside","below","C",0,0,0,0
"A2T5CROJ0FWIJY","throw","a football",0,"a lawnmower",5,0,0,"outside","below","C",0,0,0,0
"A2T5CROJ0FWIJY","beach","a coat",5,"a jacket",4,0,0,"outside","above","D",0,-1,0,-1
"A2T5CROJ0FWIJY","hot","blankets",4,"a couch",3,0,0,"outside","above","D",0,-1,0,-1
"A2T5CROJ0FWIJY","cold","a fridge",5,"a microwave",3,0,0,"outside","above","D",0,-1,0,-1
"A2T5CROJ0FWIJY","transport","a hammer",5,"chairs",4,0,0,"outside","above","D",0,-1,0,-1
"A2T5CROJ0FWIJY","cut","scissors",0,"nail clippers",1,0,0,"inside","below","A",-1,0,0,-1
"A2T5CROJ0FWIJY","mask","a bandana",0,"napkins",2,0,0,"inside","below","A",-1,0,0,-1
"A2T5CROJ0FWIJY","meat","turkey",1,"crab",2,-1,1,"inside","below","A",-1,0,0,-1
"A3JWOB5IEJCDZC","fridge","juice",1,"ketchup",4,0,0,"outside","below","C",0,0,0,0
"A3JWOB5IEJCDZC","bag","a pen",0,"makeup",3,0,0,"outside","below","C",0,0,0,0
"A3JWOB5IEJCDZC","mall","a burger joint",0,"an electronics store",5,0,0,"outside","below","C",0,0,0,0
"A3JWOB5IEJCDZC","bakery","water",5,"sandwiches",4,-1,1,"outside","above","D",0,-1,0,-1
"A3JWOB5IEJCDZC","salad","chips",4,"meat",3,0,0,"outside","above","D",0,-1,0,-1
"A3JWOB5IEJCDZC","restaurant","salad",5,"soup",3,-1,1,"outside","above","D",0,-1,0,-1
"A3JWOB5IEJCDZC","gym","meditation",5,"weightlifting",4,-1,1,"outside","above","D",0,-1,0,-1
"A3JWOB5IEJCDZC","science","physics",0,"geology",1,-1,1,"inside","below","A",-1,0,0,-1
"A3JWOB5IEJCDZC","throw","a football",0,"a boomerang",2,0,0,"inside","below","A",-1,0,0,-1
"A3JWOB5IEJCDZC","beach","shorts",1,"sunglasses",2,0,0,"inside","below","A",-1,0,0,-1
"A3JWOB5IEJCDZC","hot","a fan",0,"a pool",1,-1,1,"inside","below","A",-1,0,0,-1
"A3JWOB5IEJCDZC","cold","a fridge",5,"tea",2,0,0,"inside","above","B",-1,-1,-1,-1
"A3JWOB5IEJCDZC","transport","a lawnmower",3,"a car",0,-1,1,"inside","above","B",-1,-1,-1,-1
"A3JWOB5IEJCDZC","cut","a stapler",4,"nail clippers",1,0,0,"inside","above","B",-1,-1,-1,-1
"A3JWOB5IEJCDZC","mask","a wallet",4,"napkins",2,0,0,"inside","above","B",-1,-1,-1,-1
"A3JWOB5IEJCDZC","meat","turkey",1,"tofu",3,0,0,"outside","below","C",0,0,0,0
"A2VUF0V7HT51Q3","fridge","juice",1,"meat",5,0,0,"outside","below","C",0,0,0,0
"A2VUF0V7HT51Q3","bag","cash",4,"headphones",5,0,0,"outside","below","C",0,0,0,0
"A2VUF0V7HT51Q3","mall","a grocery store",3,"an electronics store",5,0,0,"outside","below","C",0,0,0,0
"A2VUF0V7HT51Q3","bakery","water",5,"pretzels",3,0,0,"outside","above","D",0,-1,0,-1
"A2VUF0V7HT51Q3","salad","cigarettes",5,"chips",4,0,0,"outside","above","D",0,-1,0,-1
"A2VUF0V7HT51Q3","restaurant","cake",4,"soup",3,0,0,"outside","above","D",0,-1,0,-1
"A2VUF0V7HT51Q3","gym","meditation",5,"swimming",3,-1,1,"outside","above","D",0,-1,0,-1
"A2VUF0V7HT51Q3","science","geology",1,"zoology",2,-1,1,"inside","below","A",-1,0,0,-1
"A2VUF0V7HT51Q3","throw","a football",0,"a beach ball",1,-1,1,"inside","below","A",-1,0,0,-1
"A2VUF0V7HT51Q3","beach","a bikini",0,"sunglasses",2,0,0,"inside","below","A",-1,0,0,-1
"A2VUF0V7HT51Q3","hot","a pool",1,"a shower",2,0,0,"inside","below","A",-1,0,0,-1
"A2VUF0V7HT51Q3","cold","a fridge",5,"blankets",1,0,0,"inside","above","B",-1,-1,-1,-1
"A2VUF0V7HT51Q3","transport","chairs",4,"a car",0,-1,1,"inside","above","B",-1,-1,-1,-1
"A2VUF0V7HT51Q3","cut","thumb tacks",3,"keys",2,0,0,"inside","above","B",-1,-1,-1,-1
"A2VUF0V7HT51Q3","mask","a handkerchief",1,"a bandana",0,-1,1,"inside","above","B",-1,-1,-1,-1
"A2VUF0V7HT51Q3","meat","crab",2,"mushrooms",4,0,0,"outside","below","C",0,0,0,0
"AHKOMKJ1HGJLM","fridge","ketchup",4,"meat",5,0,0,"outside","below","C",0,0,0,0
"AHKOMKJ1HGJLM","bag","makeup",3,"headphones",5,0,0,"outside","below","C",0,0,0,0
"AHKOMKJ1HGJLM","mall","an electronics store",5,"a grocery store",3,-1,1,"outside","above","D",0,-1,0,-1
"AHKOMKJ1HGJLM","bakery","water",5,"sandwiches",4,0,0,"outside","above","D",0,-1,0,-1
"AHKOMKJ1HGJLM","salad","chips",4,"meat",3,0,0,"outside","above","D",0,-1,0,-1
"AHKOMKJ1HGJLM","restaurant","salad",5,"soup",3,0,0,"outside","above","D",0,-1,0,-1
"AHKOMKJ1HGJLM","gym","softball",1,"lacrosse",2,0,0,"inside","below","A",-1,0,0,-1
"AHKOMKJ1HGJLM","science","physics",0,"geology",1,0,0,"inside","below","A",-1,0,0,-1
"AHKOMKJ1HGJLM","throw","a football",0,"a boomerang",2,0,0,"inside","below","A",-1,0,0,-1
"AHKOMKJ1HGJLM","beach","shorts",1,"sunglasses",2,0,0,"inside","below","A",-1,0,0,-1
"AHKOMKJ1HGJLM","hot","a heater",5,"a pool",1,0,0,"inside","above","B",-1,-1,-1,-1
"AHKOMKJ1HGJLM","cold","a sink",4,"a heater",0,-1,1,"inside","above","B",-1,-1,-1,-1
"AHKOMKJ1HGJLM","transport","a lawnmower",3,"roller blades",2,0,0,"inside","above","B",-1,-1,-1,-1
"AHKOMKJ1HGJLM","cut","nail clippers",1,"scissors",0,-1,1,"inside","above","B",-1,-1,-1,-1
"AHKOMKJ1HGJLM","mask","napkins",2,"a wallet",4,0,0,"outside","below","C",0,0,0,0
"AHKOMKJ1HGJLM","meat","turkey",1,"mushrooms",4,0,0,"outside","below","C",0,0,0,0
"A35Z5I09VVHKNS","fridge","water",0,"milk",2,-1,1,"inside","below","A",-1,0,0,-1
"A35Z5I09VVHKNS","bag","crayons",1,"chalk",2,0,0,"inside","below","A",-1,0,0,-1
"A35Z5I09VVHKNS","mall","a burger joint",0,"a pretzel stand",1,0,0,"inside","below","A",-1,0,0,-1
"A35Z5I09VVHKNS","bakery","cakes",0,"muffins",2,-1,1,"inside","below","A",-1,0,0,-1
"A35Z5I09VVHKNS","salad","cigarettes",5,"lettuce",0,0,0,"inside","above","B",-1,-1,-1,-1
"A35Z5I09VVHKNS","restaurant","soup",3,"vodka",1,-1,1,"inside","above","B",-1,-1,-1,-1
"A35Z5I09VVHKNS","gym","lacrosse",2,"basketball",0,-1,1,"inside","above","B",-1,-1,-1,-1
"A35Z5I09VVHKNS","science","zoology",2,"geology",1,-1,1,"inside","above","B",-1,-1,-1,-1
"A35Z5I09VVHKNS","throw","a football",0,"a shovel",4,0,0,"outside","below","C",0,0,0,0
"A35Z5I09VVHKNS","beach","shorts",1,"a coat",5,-1,1,"outside","below","C",0,0,0,0
"A35Z5I09VVHKNS","hot","blankets",4,"a heater",5,-1,1,"outside","below","C",0,0,0,0
"A35Z5I09VVHKNS","cold","a microwave",3,"a fridge",5,-1,1,"outside","below","C",0,0,0,0
"A35Z5I09VVHKNS","transport","a hammer",5,"a lawnmower",3,0,0,"outside","above","D",0,-1,0,-1
"A35Z5I09VVHKNS","cut","batteries",5,"a stapler",4,0,0,"outside","above","D",0,-1,0,-1
"A35Z5I09VVHKNS","mask","a wallet",4,"gloves",3,0,0,"outside","above","D",0,-1,0,-1
"A35Z5I09VVHKNS","meat","rice",5,"tofu",3,0,0,"outside","above","D",0,-1,0,-1
"A34FFFROPR98NA","fridge","water",0,"milk",2,-1,1,"inside","below","A",-1,0,0,-1
"A34FFFROPR98NA","bag","headphones",5,"a pen",0,-1,1,"inside","above","B",-1,-1,-1,-1
"A34FFFROPR98NA","mall","a grocery store",3,"a pretzel stand",1,-1,1,"inside","above","B",-1,-1,-1,-1
"A34FFFROPR98NA","bakery","muffins",2,"cakes",0,-1,1,"inside","above","B",-1,-1,-1,-1
"A34FFFROPR98NA","salad","tuna",2,"dressing",1,-1,1,"inside","above","B",-1,-1,-1,-1
"A34FFFROPR98NA","restaurant","cocktails",0,"cake",4,-1,1,"outside","below","C",0,0,0,0
"A34FFFROPR98NA","gym","softball",1,"meditation",5,-1,1,"outside","below","C",0,0,0,0
"A34FFFROPR98NA","science","philosophy",4,"art",5,-1,1,"outside","below","C",0,0,0,0
"A34FFFROPR98NA","throw","tires",3,"a lawnmower",5,-1,1,"outside","below","C",0,0,0,0
"A34FFFROPR98NA","beach","a coat",5,"jeans",3,-1,1,"outside","above","D",0,-1,0,-1
"A34FFFROPR98NA","hot","a heater",5,"blankets",4,0,0,"outside","above","D",0,-1,0,-1
"A34FFFROPR98NA","cold","a sink",4,"a microwave",3,-1,1,"outside","above","D",0,-1,0,-1
"A34FFFROPR98NA","transport","a hammer",5,"a lawnmower",3,-1,1,"outside","above","D",0,-1,0,-1
"A34FFFROPR98NA","cut","nail clippers",1,"keys",2,-1,1,"inside","below","A",-1,0,0,-1
"A34FFFROPR98NA","mask","a bandana",0,"a handkerchief",1,-1,1,"inside","below","A",-1,0,0,-1
"A34FFFROPR98NA","meat","chicken",0,"crab",2,-1,1,"inside","below","A",-1,0,0,-1
"A1NWXL4QO30M8U","fridge","ketchup",4,"yogurt",3,0,0,"outside","above","D",0,-1,0,-1
"A1NWXL4QO30M8U","bag","headphones",5,"makeup",3,0,0,"outside","above","D",0,-1,0,-1
"A1NWXL4QO30M8U","mall","an electronics store",5,"a gift shop",4,0,0,"outside","above","D",0,-1,0,-1
"A1NWXL4QO30M8U","bakery","sandwiches",4,"pretzels",3,0,0,"outside","above","D",0,-1,0,-1
"A1NWXL4QO30M8U","salad","lettuce",0,"tuna",2,-1,1,"inside","below","A",-1,0,0,-1
"A1NWXL4QO30M8U","restaurant","vodka",1,"soda",2,0,0,"inside","below","A",-1,0,0,-1
"A1NWXL4QO30M8U","gym","basketball",0,"softball",1,-1,1,"inside","below","A",-1,0,0,-1
"A1NWXL4QO30M8U","science","physics",0,"zoology",2,-1,1,"inside","below","A",-1,0,0,-1
"A1NWXL4QO30M8U","throw","a lawnmower",5,"a football",0,-1,1,"inside","above","B",-1,-1,-1,-1
"A1NWXL4QO30M8U","beach","jeans",3,"shorts",1,-1,1,"inside","above","B",-1,-1,-1,-1
"A1NWXL4QO30M8U","hot","a shower",2,"a fan",0,-1,1,"inside","above","B",-1,-1,-1,-1
"A1NWXL4QO30M8U","cold","tea",2,"blankets",1,-1,1,"inside","above","B",-1,-1,-1,-1
"A1NWXL4QO30M8U","transport","a car",0,"chairs",4,0,0,"outside","below","C",0,0,0,0
"A1NWXL4QO30M8U","cut","nail clippers",1,"batteries",5,0,0,"outside","below","C",0,0,0,0
"A1NWXL4QO30M8U","mask","a wallet",4,"candy",5,0,0,"outside","below","C",0,0,0,0
"A1NWXL4QO30M8U","meat","tofu",3,"rice",5,0,0,"outside","below","C",0,0,0,0
"A3IJ7SO3Z5PGT1","fridge","meat",5,"ketchup",4,0,0,"outside","above","D",0,-1,0,-1
"A3IJ7SO3Z5PGT1","bag","cash",4,"makeup",3,0,0,"outside","above","D",0,-1,0,-1
"A3IJ7SO3Z5PGT1","mall","an electronics store",5,"a grocery store",3,0,0,"outside","above","D",0,-1,0,-1
"A3IJ7SO3Z5PGT1","bakery","water",5,"sandwiches",4,0,0,"outside","above","D",0,-1,0,-1
"A3IJ7SO3Z5PGT1","salad","lettuce",0,"dressing",1,0,0,"inside","below","A",-1,0,0,-1
"A3IJ7SO3Z5PGT1","restaurant","cocktails",0,"soda",2,0,0,"inside","below","A",-1,0,0,-1
"A3IJ7SO3Z5PGT1","gym","softball",1,"lacrosse",2,-1,1,"inside","below","A",-1,0,0,-1
"A3IJ7SO3Z5PGT1","science","physics",0,"geology",1,0,0,"inside","below","A",-1,0,0,-1
"A3IJ7SO3Z5PGT1","throw","a lawnmower",5,"a boomerang",2,-1,1,"inside","above","B",-1,-1,-1,-1
"A3IJ7SO3Z5PGT1","beach","jeans",3,"a bikini",0,-1,1,"inside","above","B",-1,-1,-1,-1
"A3IJ7SO3Z5PGT1","hot","blankets",4,"a pool",1,0,0,"inside","above","B",-1,-1,-1,-1
"A3IJ7SO3Z5PGT1","cold","a sink",4,"tea",2,0,0,"inside","above","B",-1,-1,-1,-1
"A3IJ7SO3Z5PGT1","transport","a motorcycle",1,"a lawnmower",3,0,0,"outside","below","C",0,0,0,0
"A3IJ7SO3Z5PGT1","cut","thumb tacks",3,"a stapler",4,0,0,"outside","below","C",0,0,0,0
