vocab_index_zero_based,candidate,vocabulary_source,vocabulary_path,source_line_one_based,saved_log_score,unnormalized_continuation_probability,normalized_sampling_probability,rank_one_based,descending_cumulative_probability,prefix_count,prefix_inclusion_frequency,theoretical_inclusion_p06
4104,filter,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,4105,-11.057016372680664,1.57760692161423e-05,0.000838758577824907,52,0.8473367006729721,1,0.002,0.0012843081201339697
453,required,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,454,-11.119516372680664,1.482024550149363e-05,0.0007879407645555709,54,0.8489375941268577,1,0.002,0.001206589712246389
31,you,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,32,-11.150766372680664,1.4364274483146158e-05,0.0007636983758059594,56,0.8504649908784695,1,0.002,0.001169510265055515
546,paper,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,547,-11.182016372680664,1.3922332218205767e-05,0.0007402018469467406,58,0.8519688911012222,1,0.002,0.0011335690050875116
958,key,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,959,-11.275766372680664,1.2676427739251425e-05,0.0006739614511576455,63,0.855512565473506,1,0.002,0.0010322310367548194
166,social,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,167,-11.307016372680664,1.2286415059320308e-05,0.0006532258372178954,65,0.8568397527618815,1,0.002,0.0010005044009099887
5,a,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,6,-11.338266372680664,1.1908401808063886e-05,0.0006331281910502187,67,0.8581261067901497,1,0.002,0.0009697519677825863
7,that,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,8,-11.338266372680664,1.1908401808063886e-05,0.0006331281910502187,68,0.8587592349811999,1,0.002,0.0009697519677825863
5234,protective,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,5235,-11.338266372680664,1.1908401808063886e-05,0.0006331281910502187,73,0.861924875936451,1,0.002,0.0009697519677825863
4897,replacement,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,4898,-11.369516372680664,1.1542018801873704e-05,0.0006136488844497601,76,0.8637781179169502,1,0.002,0.0009399438806628558
65,my,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,66,-11.400766372680664,1.1186908215726828e-05,0.0005947688931080413,78,0.8649865356945081,1,0.002,0.0009110511944006454
1924,store,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,1925,-11.432016372680664,1.0842723233718901e-05,0.0005764697780330218,80,0.8661577743656492,1,0.002,0.0008830458477845482
4311,res,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,4312,-11.432016372680664,1.0842723233718901e-05,0.0005764697780330218,81,0.8667342441436823,1,0.002,0.0008830458477845482
118,own,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,119,-11.557016372680664,9.568669669338958e-06,0.0005087327935477709,85,0.8688514740166138,1,0.002,0.0007793660930208433
94,well,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,95,-11.588266372680664,9.274272653249087e-06,0.0004930807309744922,87,0.8698532875411361,1,0.002,0.0007554056327295275
24,at,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,25,-11.744516372680664,7.93270577813162e-06,0.0004217542992243602,93,0.872594791604547,1,0.002,0.000646203290719727
355,full,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,356,-11.744516372680664,7.93270577813162e-06,0.0004217542992243602,94,0.8730165459037713,1,0.002,0.000646203290719727
5596,spare,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,5597,-11.807016372680664,7.452087431432781e-06,0.00039620149798910736,100,0.8754318844785437,1,0.002,0.0006070755804415096
34064,respir,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,34065,-11.807016372680664,7.452087431432781e-06,0.00039620149798910736,101,0.8758280859765328,1,0.002,0.0006070755804415096
2061,band,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,2062,-11.932016372680664,6.576444076029022e-06,0.00034964659477476406,116,0.881389908823679,1,0.002,0.0005357805383473944
2862,custom,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,2863,-11.932016372680664,6.576444076029022e-06,0.00034964659477476406,117,0.8817395554184537,1,0.002,0.0005357805383473944
27887,knitted,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,27888,-11.941927909851074,6.511583371745402e-06,0.0003461981773435077,119,0.882435400190572,1,0.002,0.0005304991633024559
143,number,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,144,-11.963266372680664,6.374108163162401e-06,0.0003388890999771841,121,0.8831131783905263,1,0.002,0.0005193048644949271
298,better,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,299,-11.963266372680664,6.374108163162401e-06,0.0003388890999771841,122,0.8834520674905034,1,0.002,0.0005193048644949271
1892,copy,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,1893,-12.088266372680664,5.625130710730005e-06,0.0002990685810495463,137,0.8882030143763934,1,0.002,0.00045831290063503817
215,school,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,216,-12.150766372680664,5.284321269693017e-06,0.0002809489317150345,143,0.889915745892444,1,0.002,0.00043055708132461493
7805,micro,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,7806,-12.150766372680664,5.284321269693017e-06,0.0002809489317150345,145,0.8904776437558741,1,0.002,0.00043055708132461493
3359,requirement,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,3360,-12.182016372680664,5.121739796236705e-06,0.0002723050418088364,149,0.8915755078130158,1,0.002,0.00041731576067772006
1109,box,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,1110,-12.244516372680664,4.81142926891639e-06,0.00025580691334519057,159,0.8941741778619247,1,0.002,0.0003920417892376281
2870,option,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,2871,-12.369516372680664,4.246071426823579e-06,0.00022574880868685674,176,0.8983230500177056,1,0.002,0.0003459916031782155
5778,dual,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,5779,-12.369516372680664,4.246071426823579e-06,0.00022574880868685674,178,0.8987745476350794,1,0.002,0.0003459916031782155
86,made,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,87,-12.619516372680664,3.3068437521873202e-06,0.00017581334898276077,212,0.9055634503678254,1,0.002,0.0002694791555588555
15637,electrostatic,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,15638,-12.633099555969238,3.2622299719174102e-06,0.00017344138988585888,219,0.9067917718516078,1,0.002,0.00026584448497169794
88524,beanie,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,88525,-12.709996223449707,3.0207777595793865e-06,0.00016060421787179996,231,0.908801556463127,1,0.002,0.00024617299091614874
8626,filters,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,8627,-12.775766372680664,2.8284933515691687e-06,0.0001503811265306736,246,0.9111216078838679,1,0.002,0.00023050672199313973
7319,folded,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,7320,-12.807016372680664,2.7414697598362206e-06,0.00014575438567152114,256,0.9125791517405833,1,0.002,0.00022341636018277186
3004,nice,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,3005,-12.932016372680664,2.4193385715847993e-06,0.00012862779389323793,274,0.9150430784567938,1,0.002,0.00019716942196222918
1857,tissue,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,1858,-13.057016372680664,2.1350587957270247e-06,0.00011351362969707224,299,0.9180589770793939,1,0.002,0.00017400543552708933
585,physical,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,586,-13.088266372680664,2.069369942379672e-06,0.00011002118246844329,308,0.9190596450632953,1,0.002,0.00016865275398914432
2594,supplies,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,2595,-13.088266372680664,2.069369942379672e-06,0.00011002118246844329,312,0.9194997297931689,1,0.002,0.00016865275398914432
1063,separate,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,1064,-13.213266372680664,1.8262125644517233e-06,9.70933527470958e-05,340,0.9223923133241029,1,0.002,0.0001488384825728813
477,available,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,478,-13.244516372680664,1.7700259106848829e-06,9.410610432922028e-05,349,0.9232593001983376,1,0.002,0.00014425986448478857
112,way,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,113,-13.275766372680664,1.7155679385200455e-06,9.121076388297845e-05,358,0.9240946301742617,1,0.002,0.0001398220756473291
699,quality,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,700,-13.275766372680664,1.7155679385200455e-06,9.121076388297845e-05,361,0.9243682624659106,1,0.002,0.0001398220756473291
1387,requirements,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,1388,-13.275766372680664,1.7155679385200455e-06,9.121076388297845e-05,363,0.9245506839936766,1,0.002,0.0001398220756473291
1429,winter,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,1430,-13.275766372680664,1.7155679385200455e-06,9.121076388297845e-05,364,0.9246418947575595,1,0.002,0.0001398220756473291
281,put,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,282,-13.338266372680664,1.6116269315897165e-06,8.568458306086555e-05,388,0.9267729052770076,1,0.002,0.00013135179706526772
1511,exactly,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,1512,-13.463266372680664,1.4222557752498405e-06,7.561637915046634e-05,434,0.9304605402874724,1,0.002,0.000115919343186331
12572,tort,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,12573,-13.463266372680664,1.4222557752498405e-06,7.561637915046634e-05,440,0.930914238562375,1,0.002,0.000115919343186331
1436,perfect,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,1437,-13.494516372680664,1.3784975652980635e-06,7.328990774339608e-05,445,0.9312853410439059,1,0.002,0.00011235328063870754
96,must,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,97,-13.525766372680664,1.336085653931607e-06,7.103501433660464e-05,451,0.9317205707035525,1,0.002,0.00010889691002655445
981,cold,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,982,-13.557016372680664,1.2949786198975728e-06,6.884949670654078e-05,469,0.9329926444087208,1,0.002,0.00010554685795431097
2614,dress,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,2615,-13.588266372680664,1.2551363163410367e-06,6.673122038494893e-05,479,0.9336663114415347,1,0.002,0.00010229985472581487
12362,colorful,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,12363,-13.619516372680664,1.216519831595947e-06,6.46781165742578e-05,499,0.9349752692322486,1,0.002,9.915273115920183e-05
205,per,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,206,-13.650766372680664,1.179091451182357e-06,6.268818012710593e-05,506,0.9354199793403903,1,0.002,9.610241549947396e-05
1494,chemical,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,1495,-13.682016372680664,1.1428146209728821e-06,6.075946758803055e-05,524,0.936535229588795,1,0.002,9.3145930425751e-05
171,within,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,172,-13.775766372680664,1.0405445535324057e-06,5.532212479083616e-05,562,0.9387499574059976,1,0.002,8.481104172358074e-05
2271,extension,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,2272,-13.775766372680664,1.0405445535324057e-06,5.532212479083616e-05,570,0.9391925344043246,1,0.002,8.481104172358074e-05
19646,wallet,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,19647,-13.822641372680664,9.928945492185545e-07,5.2788740250995155e-05,594,0.9404895572635975,1,0.002,8.092757566536093e-05
61,into,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,62,-13.838266372680664,9.77501146027758e-07,5.197032669110872e-05,596,0.9405936806781221,1,0.002,7.967300986103147e-05
5644,dirty,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,5645,-13.885141372680664,9.327381095322077e-07,4.959043216125237e-05,611,0.9413517173694824,1,0.002,7.602479448313689e-05
8823,fashionable,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,8824,-13.978891372680664,8.492677131831002e-07,4.515260230813397e-05,651,0.9432236393988115,1,0.002,6.922183404468203e-05
11006,duplicate,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,11007,-14.025766372680664,8.103769131117229e-07,4.308491410827719e-05,683,0.9446309737277564,1,0.002,6.605214485464791e-05
1418,standards,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,1419,-14.072641372680664,7.732670524387398e-07,4.1111912244828024e-05,706,0.945597377408094,1,0.002,6.302758756443266e-05
1193,code,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,1194,-14.088266372680664,7.612786579796135e-07,4.047453112351221e-05,714,0.9459250166159857,1,0.002,6.205049602300743e-05
36152,tablecloth,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,36153,-14.096195220947266,7.552664614062616e-07,4.015488360052158e-05,717,0.9460461205618333,1,0.002,6.156048253068875e-05
4793,wedding,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,4794,-14.150766372680664,7.151551157471613e-07,3.8022303248677955e-05,749,0.947294830254736,1,0.002,5.829126566113865e-05
566,test,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,567,-14.244516372680664,6.511561428817279e-07,3.461970107145501e-05,815,0.949700196911267,1,0.002,5.307507822667364e-05
311,least,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,312,-14.291391372680664,6.2133753212453e-07,3.3034349536243024e-05,854,0.9510291899227555,1,0.002,5.064471653194114e-05
511,property,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,512,-14.353891372680664,5.836925940940712e-07,3.103289947589298e-05,890,0.9521881213285185,1,0.002,4.757645425657629e-05
487,market,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,488,-14.447641372680664,5.314581547834423e-07,2.8255776516465593e-05,961,0.9542982344900767,1,0.002,4.3319038993463294e-05
4543,fitted,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,4544,-14.619516372680664,4.4753263582149407e-07,2.3793749381359362e-05,1097,0.9578412115067992,1,0.002,3.647853767580029e-05
3392,med,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,3393,-14.635141372680664,4.4059428540989987e-07,2.342486148894793e-05,1111,0.9581717417828914,1,0.002,3.59130106794994e-05
11184,vaccine,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,11185,-14.635141372680664,4.4059428540989987e-07,2.342486148894793e-05,1116,0.9582888660903364,1,0.002,3.59130106794994e-05
170,form,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,171,-14.650766372680664,4.3376350415099045e-07,2.3061692673214442e-05,1122,0.9584279550922927,1,0.002,3.5356250741744315e-05
51446,carbonated,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,51447,-14.675615310668945,4.231177572667367e-07,2.249569544068557e-05,1146,0.9589763580176988,1,0.002,3.448854123805982e-05
4723,protocol,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,4724,-15.010141372680664,3.0281572865879387e-07,1.6099656158517443e-05,1491,0.9655180324063557,1,0.002,2.4682904407607285e-05
1609,pleasure,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,1610,-15.150766372680664,2.630908643319639e-07,1.3987623671174761e-05,1653,0.9679615768824642,1,0.002,2.1444948420913948e-05
11639,spider,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,11640,-15.182016372680664,2.5499640939764633e-07,1.3557269733450586e-05,1704,0.9686642795286706,1,0.002,2.0785170435063725e-05
