story,trigger,query,neg_proportion_H1,neg_proportion_H2
hot,a couch,a fan,0.0,0.0
hot,a couch,a heater,0.0,0.0
hot,a couch,a pool,0.3333333333333333,0.6666666666666666
hot,a couch,a shower,1.0,1.0
hot,a couch,blankets,0.0,0.5
hot,a fan,a couch,0.0,0.0
hot,a fan,a heater,0.3333333333333333,0.0
hot,a fan,a pool,0.5,0.6
hot,a fan,a shower,0.1,0.0
hot,a fan,blankets,0.0,0.0
hot,a heater,a couch,0.0,0.0
hot,a heater,a fan,1.0,1.0
hot,a heater,a pool,0.5,0.0
hot,a heater,a shower,0.0,0.0
hot,a heater,blankets,0.14285714285714285,0.3333333333333333
hot,a pool,a couch,0.0,0.0
hot,a pool,a fan,0.0,0.5
hot,a pool,a heater,0.0,0.0
hot,a pool,a shower,0.2,0.3333333333333333
hot,a pool,blankets,0.3333333333333333,0.5
hot,a shower,a couch,0.0,0.0
hot,a shower,a fan,0.6666666666666666,1.0
hot,a shower,a heater,0.3333333333333333,0.3333333333333333
hot,a shower,a pool,1.0,1.0
hot,a shower,blankets,0.0,0.0
hot,blankets,a couch,0.0,0.0
hot,blankets,a fan,0.0,0.5
hot,blankets,a heater,0.5,1.0
hot,blankets,a pool,0.0,0.0
hot,blankets,a shower,0.3333333333333333,0.0
mall,a burger joint,a coffee shop,0.75,0.5
mall,a burger joint,a gift shop,0.0,0.3333333333333333
mall,a burger joint,a grocery store,1.0,0.5
mall,a burger joint,a pretzel stand,0.9,0.7777777777777778
mall,a burger joint,an electronics store,0.0,0.0
mall,a coffee shop,a burger joint,1.0,0.0
mall,a coffee shop,a gift shop,0.0,0.0
mall,a coffee shop,a grocery store,1.0,0.0
mall,a coffee shop,a pretzel stand,1.0,1.0
mall,a coffee shop,an electronics store,0.3333333333333333,0.5
mall,a gift shop,a burger joint,1.0,1.0
mall,a gift shop,a coffee shop,0.0,1.0
mall,a gift shop,a grocery store,0.875,0.8571428571428571
mall,a gift shop,a pretzel stand,1.0,1.0
mall,a gift shop,an electronics store,0.5,0.5
mall,a grocery store,a burger joint,1.0,1.0
mall,a grocery store,a coffee shop,0.6666666666666666,1.0
mall,a grocery store,a gift shop,0.0,0.5
mall,a grocery store,a pretzel stand,0.6666666666666666,1.0
mall,a grocery store,an electronics store,0.0,0.0
mall,a pretzel stand,a burger joint,1.0,1.0
mall,a pretzel stand,a coffee shop,0.7,0.9
mall,a pretzel stand,a gift shop,0.0,0.0
mall,a pretzel stand,a grocery store,0.6666666666666666,0.5
mall,a pretzel stand,an electronics store,0.0,0.0
mall,an electronics store,a burger joint,1.0,1.0
mall,an electronics store,a coffee shop,1.0,0.5
mall,an electronics store,a gift shop,0.7,0.5
mall,an electronics store,a grocery store,0.8,0.8888888888888888
mall,an electronics store,a pretzel stand,1.0,0.0
mask,a bandana,a handkerchief,0.8571428571428571,0.3333333333333333
mask,a bandana,a wallet,0.3333333333333333,0.5
mask,a bandana,candy,0.0,0.0
mask,a bandana,gloves,0.0,1.0
mask,a bandana,napkins,0.16666666666666666,0.16666666666666666
mask,a handkerchief,a bandana,1.0,1.0
mask,a handkerchief,a wallet,0.0,0.0
mask,a handkerchief,candy,0.0,0.0
mask,a handkerchief,gloves,0.3333333333333333,0.5
mask,a handkerchief,napkins,0.4,0.2
mask,a wallet,a bandana,1.0,0.5
mask,a wallet,a handkerchief,0.6666666666666666,0.5
mask,a wallet,candy,0.3333333333333333,0.0
mask,a wallet,gloves,0.8,0.4444444444444444
mask,a wallet,napkins,0.3333333333333333,0.6666666666666666
mask,candy,a bandana,1.0,0.5
mask,candy,a handkerchief,0.6666666666666666,0.6666666666666666
mask,candy,a wallet,0.2,0.2
mask,candy,gloves,0.125,0.0
mask,candy,napkins,0.0,1.0
mask,gloves,a bandana,0.6666666666666666,0.3333333333333333
mask,gloves,a handkerchief,0.3333333333333333,0.5
mask,gloves,a wallet,0.0,0.0
mask,gloves,candy,0.0,0.5
mask,gloves,napkins,0.5,0.5
mask,napkins,a bandana,1.0,1.0
mask,napkins,a handkerchief,0.3333333333333333,1.0
mask,napkins,a wallet,0.0,0.0
mask,napkins,candy,0.0,0.5
mask,napkins,gloves,0.3333333333333333,0.0
meat,chicken,crab,0.6666666666666666,0.875
meat,chicken,mushrooms,0.3333333333333333,0.0
meat,chicken,rice,1.0,0.0
meat,chicken,tofu,0.0,0.0
meat,chicken,turkey,1.0,0.9
meat,crab,chicken,1.0,1.0
meat,crab,mushrooms,0.0,0.0
meat,crab,rice,0.0,0.0
meat,crab,tofu,0.5,1.0
meat,crab,turkey,1.0,1.0
meat,mushrooms,chicken,1.0,1.0
meat,mushrooms,crab,1.0,1.0
meat,mushrooms,rice,0.0,0.0
meat,mushrooms,tofu,0.6,0.4444444444444444
meat,mushrooms,turkey,1.0,1.0
meat,rice,chicken,1.0,1.0
meat,rice,crab,0.0,1.0
meat,rice,mushrooms,0.1111111111111111,0.375
meat,rice,tofu,0.5555555555555556,0.2222222222222222
meat,rice,turkey,1.0,1.0
meat,tofu,chicken,1.0,1.0
meat,tofu,crab,0.6666666666666666,1.0
meat,tofu,mushrooms,0.0,0.0
meat,tofu,rice,0.0,0.0
meat,tofu,turkey,1.0,1.0
meat,turkey,chicken,1.0,1.0
meat,turkey,crab,0.8571428571428571,0.6666666666666666
meat,turkey,mushrooms,0.0,0.0
meat,turkey,rice,0.0,0.0
meat,turkey,tofu,0.3333333333333333,0.0
restaurant,cake,cocktails,1.0,1.0
restaurant,cake,salad,0.6666666666666666,0.5
restaurant,cake,soda,1.0,0.5
restaurant,cake,soup,0.4444444444444444,0.3333333333333333
restaurant,cake,vodka,1.0,1.0
restaurant,cocktails,cake,0.3333333333333333,1.0
restaurant,cocktails,salad,0.0,0.0
restaurant,cocktails,soda,0.3,0.5555555555555556
restaurant,cocktails,soup,0.0,0.0
restaurant,cocktails,vodka,0.5714285714285714,0.42857142857142855
restaurant,salad,cake,0.6,0.5
restaurant,salad,cocktails,1.0,0.5
restaurant,salad,soda,0.6666666666666666,0.5
restaurant,salad,soup,0.6,0.8
restaurant,salad,vodka,1.0,1.0
restaurant,soda,cake,0.0,0.0
restaurant,soda,cocktails,1.0,1.0
restaurant,soda,salad,0.0,0.0
restaurant,soda,soup,0.0,0.0
restaurant,soda,vodka,1.0,1.0
restaurant,soup,cake,0.5,0.0
restaurant,soup,cocktails,1.0,1.0
restaurant,soup,salad,0.6666666666666666,0.3333333333333333
restaurant,soup,soda,1.0,0.6666666666666666
restaurant,soup,vodka,1.0,1.0
restaurant,vodka,cake,0.0,0.0
restaurant,vodka,cocktails,1.0,1.0
restaurant,vodka,salad,0.0,0.0
restaurant,vodka,soda,0.3,0.3333333333333333
restaurant,vodka,soup,0.0,0.0
salad,chips,cigarettes,0.3333333333333333,0.0
salad,chips,dressing,0.6666666666666666,0.0
salad,chips,lettuce,1.0,1.0
salad,chips,meat,0.18181818181818182,0.4
salad,chips,tuna,0.3333333333333333,0.0
salad,cigarettes,chips,0.375,0.5
salad,cigarettes,dressing,1.0,1.0
salad,cigarettes,lettuce,0.5,1.0
salad,cigarettes,meat,0.6,0.5555555555555556
salad,cigarettes,tuna,0.3333333333333333,0.3333333333333333
salad,dressing,chips,0.0,0.0
salad,dressing,cigarettes,0.0,0.0
salad,dressing,lettuce,1.0,1.0
salad,dressing,meat,0.5,0.0
salad,dressing,tuna,0.25,0.625
salad,lettuce,chips,0.0,0.0
salad,lettuce,cigarettes,0.0,0.0
salad,lettuce,dressing,0.5555555555555556,0.6666666666666666
salad,lettuce,meat,0.5,1.0
salad,lettuce,tuna,0.4444444444444444,0.3333333333333333
salad,meat,chips,0.0,0.0
salad,meat,cigarettes,0.0,0.0
salad,meat,dressing,0.0,0.0
salad,meat,lettuce,1.0,1.0
salad,meat,tuna,0.5,0.0
salad,tuna,chips,0.0,0.0
salad,tuna,cigarettes,0.0,0.0
salad,tuna,dressing,0.6666666666666666,0.5
salad,tuna,lettuce,1.0,1.0
salad,tuna,meat,0.6666666666666666,1.0
science,art,geology,1.0,1.0
science,art,math,0.6,0.8
science,art,philosophy,0.6666666666666666,0.5555555555555556
science,art,physics,1.0,1.0
science,art,zoology,0.6666666666666666,1.0
science,geology,art,0.6666666666666666,0.5
science,geology,math,0.6666666666666666,1.0
science,geology,philosophy,0.5,1.0
science,geology,physics,1.0,1.0
science,geology,zoology,1.0,1.0
science,math,art,1.0,0.0
science,math,geology,0.5,1.0
science,math,philosophy,0.6666666666666666,0.0
science,math,physics,1.0,0.0
science,math,zoology,0.6666666666666666,1.0
science,philosophy,art,1.0,1.0
science,philosophy,geology,0.6666666666666666,1.0
science,philosophy,math,0.875,0.5
science,philosophy,physics,1.0,1.0
science,philosophy,zoology,1.0,0.6666666666666666
science,physics,art,0.3333333333333333,0.5
science,physics,geology,0.7272727272727273,1.0
science,physics,math,0.5,0.0
science,physics,philosophy,0.5,0.0
science,physics,zoology,0.7,0.6
science,zoology,art,0.5,1.0
science,zoology,geology,0.5,1.0
science,zoology,math,0.3333333333333333,0.5
science,zoology,philosophy,0.6666666666666666,0.6666666666666666
science,zoology,physics,1.0,1.0
throw,a beach ball,a boomerang,0.6,0.6666666666666666
throw,a beach ball,a football,1.0,1.0
throw,a beach ball,a lawnmower,0.0,0.0
throw,a beach ball,a shovel,0.0,0.0
throw,a beach ball,tires,0.0,0.0
throw,a boomerang,a beach ball,0.5,1.0
throw,a boomerang,a football,1.0,1.0
throw,a boomerang,a lawnmower,0.0,0.0
throw,a boomerang,a shovel,0.0,0.0
throw,a boomerang,tires,0.0,0.0
throw,a football,a beach ball,0.875,0.875
throw,a football,a boomerang,0.6363636363636364,0.6
throw,a football,a lawnmower,0.0,0.0
throw,a football,a shovel,0.0,0.0
throw,a football,tires,0.0,0.0
throw,a lawnmower,a beach ball,1.0,1.0
throw,a lawnmower,a boomerang,0.6666666666666666,1.0
throw,a lawnmower,a football,1.0,1.0
throw,a lawnmower,a shovel,0.36363636363636365,0.3
throw,a lawnmower,tires,0.0,0.16666666666666666
throw,a shovel,a beach ball,0.5,1.0
throw,a shovel,a boomerang,0.6666666666666666,0.5
throw,a shovel,a football,1.0,1.0
throw,a shovel,a lawnmower,0.0,0.0
throw,a shovel,tires,0.0,0.25
throw,tires,a beach ball,0.3333333333333333,1.0
throw,tires,a boomerang,1.0,1.0
throw,tires,a football,1.0,0.5
throw,tires,a lawnmower,0.6666666666666666,1.0
throw,tires,a shovel,0.6666666666666666,0.0
transport,a car,a hammer,0.3333333333333333,0.0
transport,a car,a lawnmower,0.0,0.5
transport,a car,a motorcycle,1.0,0.8
transport,a car,chairs,0.0,0.0
transport,a car,roller blades,0.625,0.5
transport,a hammer,a car,0.6666666666666666,0.5
transport,a hammer,a lawnmower,0.8888888888888888,0.2222222222222222
transport,a hammer,a motorcycle,0.5,0.5
transport,a hammer,chairs,0.125,0.0
transport,a hammer,roller blades,0.6666666666666666,1.0
transport,a lawnmower,a car,1.0,1.0
transport,a lawnmower,a hammer,0.0,0.5
transport,a lawnmower,a motorcycle,1.0,1.0
transport,a lawnmower,chairs,0.3333333333333333,0.0
transport,a lawnmower,roller blades,1.0,0.0
transport,a motorcycle,a car,1.0,0.5
transport,a motorcycle,a hammer,0.0,0.0
transport,a motorcycle,a lawnmower,0.0,0.0
transport,a motorcycle,chairs,0.0,0.0
transport,a motorcycle,roller blades,0.7142857142857143,0.3333333333333333
transport,chairs,a car,1.0,1.0
transport,chairs,a hammer,0.0,0.0
transport,chairs,a lawnmower,0.09090909090909091,0.09090909090909091
transport,chairs,a motorcycle,0.6666666666666666,0.5
transport,chairs,roller blades,0.5,1.0
transport,roller blades,a car,1.0,1.0
transport,roller blades,a hammer,0.0,0.5
transport,roller blades,a lawnmower,0.0,0.0
transport,roller blades,a motorcycle,1.0,1.0
transport,roller blades,chairs,1.0,0.0
