analysis_dataset_id,dataset,group_type,model,n,spearman_rho,status
rnx_esi,R&X ESI,within_condition,Ordering,60,0.16278798925330779,defined
rnx_esi,R&X ESI,within_condition,Conjunction Top-K,60,0.314067576092408,defined
rnx_esi,R&X ESI,within_condition,Conjunction Top-p,60,0.15296151339415215,defined
rnx_esi,R&X ESI,within_condition,Disjunction Top-K,60,0.20340756215451333,defined
rnx_esi,R&X ESI,within_condition,Disjunction Top-p,60,0.19509232571718899,defined
rnx_eweak,R&X Eweak,within_condition,No linking structure,60,-0.13000447271731946,defined
rnx_eweak,R&X Eweak,within_condition,X but not Y,0,,not_applicable
rnx_eweak,R&X Eweak,within_condition,Set Top-K,60,0.01804651694813035,defined
rnx_eweak,R&X Eweak,within_condition,Set Top-p,60,-0.07656999798028533,defined
rnx_eweak,R&X Eweak,within_condition,Ordering,60,0.07071233671128631,defined
rnx_eweak,R&X Eweak,within_condition,Conjunction Top-K,60,0.09129661275026221,defined
rnx_eweak,R&X Eweak,within_condition,Conjunction Top-p,60,0.04045718474267042,defined
rnx_eweak,R&X Eweak,within_condition,Disjunction Top-K,60,-0.0014571721759359909,defined
rnx_eweak,R&X Eweak,within_condition,Disjunction Top-p,60,-0.05954185760983091,defined
rnx_estrong,R&X Estrong,within_condition,No linking structure,60,-0.26146065752944486,defined
rnx_estrong,R&X Estrong,within_condition,X but not Y,0,,not_applicable
rnx_estrong,R&X Estrong,within_condition,Set Top-K,60,-0.008137122724414254,defined
rnx_estrong,R&X Estrong,within_condition,Set Top-p,60,-0.19657068158114124,defined
rnx_estrong,R&X Estrong,within_condition,Ordering,60,0.09363348698678017,defined
rnx_estrong,R&X Estrong,within_condition,Conjunction Top-K,60,0.0699389283730781,defined
rnx_estrong,R&X Estrong,within_condition,Conjunction Top-p,60,0.036509040390294886,defined
rnx_estrong,R&X Estrong,within_condition,Disjunction Top-K,60,-0.0029122333961061546,defined
rnx_estrong,R&X Estrong,within_condition,Disjunction Top-p,60,-0.22247102201390512,defined
rnx_eonly,R&X Eonly,within_condition,No linking structure,60,0.12017223813715006,defined
rnx_eonly,R&X Eonly,within_condition,X but not Y,0,,not_applicable
rnx_eonly,R&X Eonly,within_condition,Set Top-K,60,0.30729841621842485,defined
rnx_eonly,R&X Eonly,within_condition,Set Top-p,60,0.11055677367435712,defined
rnx_eonly,R&X Eonly,within_condition,Ordering,60,0.10866584636784825,defined
rnx_eonly,R&X Eonly,within_condition,Conjunction Top-K,60,0.2526615387581967,defined
rnx_eonly,R&X Eonly,within_condition,Conjunction Top-p,60,0.09962359093510757,defined
rnx_eonly,R&X Eonly,within_condition,Disjunction Top-K,60,0.19069058224139732,defined
rnx_eonly,R&X Eonly,within_condition,Disjunction Top-p,60,0.14214342009095998,defined
rnx_eonlystrong,R&X Eonlystrong,within_condition,No linking structure,60,-0.2237879581809142,defined
rnx_eonlystrong,R&X Eonlystrong,within_condition,X but not Y,0,,not_applicable
rnx_eonlystrong,R&X Eonlystrong,within_condition,Set Top-K,60,-0.03672064726809771,defined
rnx_eonlystrong,R&X Eonlystrong,within_condition,Set Top-p,60,-0.19450750757056817,defined
rnx_eonlystrong,R&X Eonlystrong,within_condition,Ordering,60,-0.041751995782380556,defined
rnx_eonlystrong,R&X Eonlystrong,within_condition,Conjunction Top-K,60,-0.04813593684305767,defined
rnx_eonlystrong,R&X Eonlystrong,within_condition,Conjunction Top-p,60,-0.1463771259420675,defined
rnx_eonlystrong,R&X Eonlystrong,within_condition,Disjunction Top-K,60,-0.03969450250459858,defined
rnx_eonlystrong,R&X Eonlystrong,within_condition,Disjunction Top-p,60,-0.14592141929823957,defined
