analysis_dataset_id,analysis_unit_id,human_rate,cv_fold,model_probability,human_rank,model_rank,model,group_type
hu_vt16,vt16::believe/know,0.61,3,0.1599058874919745,10.5,7.0,X but not Y,within_dataset
hu_vt16,vt16::big/enormous,0.21,4,0.0002073988607160489,26.5,37.0,X but not Y,within_dataset
hu_vt16,vt16::cheap/free,0.93,5,0.026592806748310754,1.5,17.0,X but not Y,within_dataset
hu_vt16,vt16::content/happy,0.04,6,0.05547779059426435,38.0,13.0,X but not Y,within_dataset
hu_vt16,vt16::cool/cold,0.46,7,0.3813084206600448,14.0,2.0,X but not Y,within_dataset
hu_vt16,vt16::dark/black,0.29,8,0.15387855914607865,20.5,8.0,X but not Y,within_dataset
hu_vt16,vt16::difficult/impossible,0.96,9,0.44082896432563734,0.0,0.0,X but not Y,within_dataset
hu_vt16,vt16::dislike/loathe,0.18,0,0.000205313917209636,30.0,38.0,X but not Y,within_dataset
hu_vt16,vt16::funny/hilarious,0.29,1,0.008486536245466027,20.5,26.0,X but not Y,within_dataset
hu_vt16,vt16::good/excellent,0.32,2,0.008458918327149597,18.5,27.0,X but not Y,within_dataset
hu_vt16,vt16::good/perfect,0.3899999999999999,3,0.0813715463656777,15.5,12.0,X but not Y,within_dataset
hu_vt16,vt16::hard/unsolvable,0.71,4,0.015983599931520695,8.0,21.0,X but not Y,within_dataset
hu_vt16,vt16::hungry/starving,0.25,5,0.009760610310909247,23.0,25.0,X but not Y,within_dataset
hu_vt16,vt16::intelligent/brilliant,0.07,6,0.004540392259840564,37.0,30.0,X but not Y,within_dataset
hu_vt16,vt16::like/love,0.25,7,0.004412769952091164,23.0,31.0,X but not Y,within_dataset
hu_vt16,vt16::low/depleted,0.79,8,0.007078582411810041,6.5,28.0,X but not Y,within_dataset
hu_vt16,vt16::may/will,0.89,9,0.04042592053483878,3.0,14.0,X but not Y,within_dataset
hu_vt16,vt16::memorable/unforgettable,0.54,0,0.0008211187392091313,13.0,35.0,X but not Y,within_dataset
hu_vt16,vt16::old/ancient,0.36,1,0.012131455394111595,17.0,23.0,X but not Y,within_dataset
hu_vt16,vt16::palatable/delicious,0.61,2,0.014856614061462159,10.5,22.0,X but not Y,within_dataset
hu_vt16,vt16::participate/win,0.18,3,0.234829401438875,30.0,5.0,X but not Y,within_dataset
hu_vt16,vt16::possible/certain,0.93,4,0.005339812220036581,1.5,29.0,X but not Y,within_dataset
hu_vt16,vt16::pretty/beautiful,0.11,5,0.10083793258954092,36.0,10.0,X but not Y,within_dataset
hu_vt16,vt16::rare/extinct,0.79,6,0.08165685195809295,6.5,11.0,X but not Y,within_dataset
hu_vt16,vt16::scarce/unavailable,0.57,7,0.0020030959141850973,12.0,33.0,X but not Y,within_dataset
hu_vt16,vt16::silly/ridiculous,0.14,8,0.003600913930660076,33.5,32.0,X but not Y,within_dataset
hu_vt16,vt16::small/tiny,0.25,9,0.02670919387649538,23.0,16.0,X but not Y,within_dataset
hu_vt16,vt16::snug/tight,0.21,0,0.18455018666553424,26.5,6.0,X but not Y,within_dataset
hu_vt16,vt16::sometimes/always,0.86,1,0.13912704651524094,4.0,9.0,X but not Y,within_dataset
hu_vt16,vt16::special/unique,0.14,2,0.019154493177668475,33.5,20.0,X but not Y,within_dataset
hu_vt16,vt16::start/finish,0.21,3,0.3651486730974139,26.5,3.0,X but not Y,within_dataset
hu_vt16,vt16::tired/exhausted,0.14,4,0.037650215974974005,33.5,15.0,X but not Y,within_dataset
hu_vt16,vt16::try/succeed,0.3899999999999999,5,0.4084957686874116,15.5,1.0,X but not Y,within_dataset
hu_vt16,vt16::ugly/hideous,0.18,6,0.012015109293064164,30.0,24.0,X but not Y,within_dataset
hu_vt16,vt16::warm/hot,0.64,7,0.2755299614855236,9.0,4.0,X but not Y,within_dataset
hu_vt16,vt16::wary/scared,0.14,8,0.021178408162227557,33.5,19.0,X but not Y,within_dataset
hu_vt16,vt16::adequate/good,0.32,0,0.4913333333333333,18.5,3.0,Set Top-K,within_dataset
hu_vt16,vt16::allowed/obligatory,0.82,1,0.0013333333333333,5.0,35.0,Set Top-K,within_dataset
hu_vt16,vt16::attractive/stunning,0.21,2,0.0073333333333333,26.5,28.5,Set Top-K,within_dataset
hu_vt16,vt16::believe/know,0.61,3,0.3666666666666667,10.5,6.0,Set Top-K,within_dataset
hu_vt16,vt16::big/enormous,0.21,4,0.0273333333333333,26.5,22.0,Set Top-K,within_dataset
hu_vt16,vt16::cheap/free,0.93,5,0.324,1.5,8.0,Set Top-K,within_dataset
hu_vt16,vt16::content/happy,0.04,6,0.0986666666666666,38.0,15.0,Set Top-K,within_dataset
hu_vt16,vt16::cool/cold,0.46,7,0.3779999999999999,14.0,5.0,Set Top-K,within_dataset
hu_vt16,vt16::dark/black,0.29,8,0.3459999999999999,20.5,7.0,Set Top-K,within_dataset
hu_vt16,vt16::difficult/impossible,0.96,9,0.0246666666666666,0.0,23.0,Set Top-K,within_dataset
hu_vt16,vt16::dislike/loathe,0.18,0,0.0,30.0,37.5,Set Top-K,within_dataset
hu_vt16,vt16::funny/hilarious,0.29,1,0.1206666666666666,20.5,14.0,Set Top-K,within_dataset
hu_vt16,vt16::good/excellent,0.32,2,0.4326666666666667,18.5,4.0,Set Top-K,within_dataset
hu_vt16,vt16::good/perfect,0.3899999999999999,3,0.1979999999999999,15.5,11.0,Set Top-K,within_dataset
hu_vt16,vt16::hard/unsolvable,0.71,4,0.0726666666666666,8.0,17.0,Set Top-K,within_dataset
hu_vt16,vt16::hungry/starving,0.25,5,0.0,23.0,37.5,Set Top-K,within_dataset
hu_vt16,vt16::intelligent/brilliant,0.07,6,0.0806666666666666,37.0,16.0,Set Top-K,within_dataset
hu_vt16,vt16::like/love,0.25,7,0.0186666666666666,23.0,25.0,Set Top-K,within_dataset
hu_vt16,vt16::low/depleted,0.79,8,0.002,6.5,32.5,Set Top-K,within_dataset
hu_vt16,vt16::may/will,0.89,9,0.9813333333333332,3.0,0.0,Set Top-K,within_dataset
hu_vt16,vt16::memorable/unforgettable,0.54,0,0.018,13.0,26.0,Set Top-K,within_dataset
hu_vt16,vt16::old/ancient,0.36,1,0.02,17.0,24.0,Set Top-K,within_dataset
hu_vt16,vt16::palatable/delicious,0.61,2,0.8079999999999999,10.5,1.0,Set Top-K,within_dataset
hu_vt16,vt16::participate/win,0.18,3,0.0493333333333333,30.0,18.0,Set Top-K,within_dataset
hu_vt16,vt16::possible/certain,0.93,4,0.0386666666666666,1.5,20.0,Set Top-K,within_dataset
hu_vt16,vt16::pretty/beautiful,0.11,5,0.24,36.0,9.0,Set Top-K,within_dataset
hu_vt16,vt16::rare/extinct,0.79,6,0.002,6.5,32.5,Set Top-K,within_dataset
hu_vt16,vt16::scarce/unavailable,0.57,7,0.0306666666666666,12.0,21.0,Set Top-K,within_dataset
hu_vt16,vt16::silly/ridiculous,0.14,8,0.0473333333333333,33.5,19.0,Set Top-K,within_dataset
hu_vt16,vt16::small/tiny,0.25,9,0.0066666666666666,23.0,30.5,Set Top-K,within_dataset
hu_vt16,vt16::snug/tight,0.21,0,0.0073333333333333,26.5,28.5,Set Top-K,within_dataset
hu_vt16,vt16::sometimes/always,0.86,1,0.1446666666666666,4.0,12.0,Set Top-K,within_dataset
hu_vt16,vt16::special/unique,0.14,2,0.1213333333333333,33.5,13.0,Set Top-K,within_dataset
hu_vt16,vt16::start/finish,0.21,3,0.2106666666666666,26.5,10.0,Set Top-K,within_dataset
hu_vt16,vt16::tired/exhausted,0.14,4,0.0013333333333333,33.5,35.0,Set Top-K,within_dataset
hu_vt16,vt16::try/succeed,0.3899999999999999,5,0.008,15.5,27.0,Set Top-K,within_dataset
hu_vt16,vt16::ugly/hideous,0.18,6,0.0013333333333333,30.0,35.0,Set Top-K,within_dataset
hu_vt16,vt16::warm/hot,0.64,7,0.5606666666666666,9.0,2.0,Set Top-K,within_dataset
hu_vt16,vt16::wary/scared,0.14,8,0.0066666666666666,33.5,30.5,Set Top-K,within_dataset
hu_vt16,vt16::adequate/good,0.32,0,0.6913333333333332,18.5,4.0,Set Top-p,within_dataset
hu_vt16,vt16::allowed/obligatory,0.82,1,0.0073333333333333,5.0,36.0,Set Top-p,within_dataset
hu_vt16,vt16::attractive/stunning,0.21,2,0.0266666666666666,26.5,27.0,Set Top-p,within_dataset
hu_vt16,vt16::believe/know,0.61,3,0.4606666666666667,10.5,8.0,Set Top-p,within_dataset
hu_vt16,vt16::big/enormous,0.21,4,0.0906666666666666,26.5,19.0,Set Top-p,within_dataset
hu_vt16,vt16::cheap/free,0.93,5,0.7993333333333333,1.5,2.0,Set Top-p,within_dataset
hu_vt16,vt16::content/happy,0.04,6,0.3186666666666666,38.0,12.0,Set Top-p,within_dataset
hu_vt16,vt16::cool/cold,0.46,7,0.566,14.0,5.0,Set Top-p,within_dataset
hu_vt16,vt16::dark/black,0.29,8,0.5646666666666667,20.5,6.0,Set Top-p,within_dataset
hu_vt16,vt16::difficult/impossible,0.96,9,0.0133333333333333,0.0,32.0,Set Top-p,within_dataset
hu_vt16,vt16::dislike/loathe,0.18,0,0.0,30.0,37.5,Set Top-p,within_dataset
hu_vt16,vt16::funny/hilarious,0.29,1,0.1633333333333333,20.5,16.0,Set Top-p,within_dataset
hu_vt16,vt16::good/excellent,0.32,2,0.4926666666666666,18.5,7.0,Set Top-p,within_dataset
hu_vt16,vt16::good/perfect,0.3899999999999999,3,0.28,15.5,14.0,Set Top-p,within_dataset
hu_vt16,vt16::hard/unsolvable,0.71,4,0.0613333333333333,8.0,23.0,Set Top-p,within_dataset
hu_vt16,vt16::hungry/starving,0.25,5,0.0,23.0,37.5,Set Top-p,within_dataset
hu_vt16,vt16::intelligent/brilliant,0.07,6,0.2046666666666666,37.0,15.0,Set Top-p,within_dataset
hu_vt16,vt16::like/love,0.25,7,0.086,23.0,20.0,Set Top-p,within_dataset
hu_vt16,vt16::low/depleted,0.79,8,0.0153333333333333,6.5,31.0,Set Top-p,within_dataset
hu_vt16,vt16::may/will,0.89,9,0.9986666666666668,3.0,0.0,Set Top-p,within_dataset
hu_vt16,vt16::memorable/unforgettable,0.54,0,0.0506666666666666,13.0,24.0,Set Top-p,within_dataset
hu_vt16,vt16::old/ancient,0.36,1,0.042,17.0,25.0,Set Top-p,within_dataset
hu_vt16,vt16::palatable/delicious,0.61,2,0.966,10.5,1.0,Set Top-p,within_dataset
hu_vt16,vt16::participate/win,0.18,3,0.154,30.0,17.0,Set Top-p,within_dataset
hu_vt16,vt16::possible/certain,0.93,4,0.108,1.5,18.0,Set Top-p,within_dataset
hu_vt16,vt16::pretty/beautiful,0.11,5,0.3813333333333333,36.0,10.0,Set Top-p,within_dataset
hu_vt16,vt16::rare/extinct,0.79,6,0.012,6.5,33.0,Set Top-p,within_dataset
hu_vt16,vt16::scarce/unavailable,0.57,7,0.076,12.0,21.0,Set Top-p,within_dataset
hu_vt16,vt16::silly/ridiculous,0.14,8,0.072,33.5,22.0,Set Top-p,within_dataset
hu_vt16,vt16::small/tiny,0.25,9,0.0413333333333333,23.0,26.0,Set Top-p,within_dataset
hu_vt16,vt16::snug/tight,0.21,0,0.01,26.5,34.5,Set Top-p,within_dataset
hu_vt16,vt16::sometimes/always,0.86,1,0.4113333333333333,4.0,9.0,Set Top-p,within_dataset
hu_vt16,vt16::special/unique,0.14,2,0.3133333333333333,33.5,13.0,Set Top-p,within_dataset
hu_vt16,vt16::start/finish,0.21,3,0.3466666666666667,26.5,11.0,Set Top-p,within_dataset
hu_vt16,vt16::tired/exhausted,0.14,4,0.02,33.5,29.0,Set Top-p,within_dataset
hu_vt16,vt16::try/succeed,0.3899999999999999,5,0.0166666666666666,15.5,30.0,Set Top-p,within_dataset
hu_vt16,vt16::ugly/hideous,0.18,6,0.01,30.0,34.5,Set Top-p,within_dataset
hu_vt16,vt16::warm/hot,0.64,7,0.718,9.0,3.0,Set Top-p,within_dataset
hu_vt16,vt16::wary/scared,0.14,8,0.0226666666666666,33.5,28.0,Set Top-p,within_dataset
hu_vt16,vt16::adequate/good,0.32,0,0.9986666666666668,18.5,1.0,Ordering,within_dataset
hu_vt16,vt16::allowed/obligatory,0.82,1,0.0313333333333333,5.0,34.0,Ordering,within_dataset
hu_vt16,vt16::attractive/stunning,0.21,2,0.102,26.5,28.0,Ordering,within_dataset
hu_vt16,vt16::believe/know,0.61,3,0.9406666666666668,10.5,2.0,Ordering,within_dataset
hu_vt16,vt16::big/enormous,0.21,4,0.032,26.5,33.0,Ordering,within_dataset
hu_vt16,vt16::cheap/free,0.93,5,0.6746666666666666,1.5,11.0,Ordering,within_dataset
hu_vt16,vt16::content/happy,0.04,6,0.9,38.0,5.0,Ordering,within_dataset
hu_vt16,vt16::cool/cold,0.46,7,0.522,14.0,14.0,Ordering,within_dataset
hu_vt16,vt16::dark/black,0.29,8,0.656,20.5,12.0,Ordering,within_dataset
hu_vt16,vt16::difficult/impossible,0.96,9,0.4293333333333333,0.0,17.0,Ordering,within_dataset
hu_vt16,vt16::dislike/loathe,0.18,0,0.0,30.0,38.0,Ordering,within_dataset
hu_vt16,vt16::funny/hilarious,0.29,1,0.0586666666666666,20.5,30.0,Ordering,within_dataset
hu_vt16,vt16::good/excellent,0.32,2,0.0786666666666666,18.5,29.0,Ordering,within_dataset
hu_vt16,vt16::good/perfect,0.3899999999999999,3,0.132,15.5,27.0,Ordering,within_dataset
hu_vt16,vt16::hard/unsolvable,0.71,4,0.2613333333333333,8.0,23.0,Ordering,within_dataset
hu_vt16,vt16::hungry/starving,0.25,5,0.0406666666666666,23.0,32.0,Ordering,within_dataset
hu_vt16,vt16::intelligent/brilliant,0.07,6,0.7553333333333333,37.0,9.0,Ordering,within_dataset
hu_vt16,vt16::like/love,0.25,7,0.3093333333333333,23.0,21.0,Ordering,within_dataset
hu_vt16,vt16::low/depleted,0.79,8,0.0139999999999999,6.5,36.0,Ordering,within_dataset
hu_vt16,vt16::may/will,0.89,9,0.738,3.0,10.0,Ordering,within_dataset
hu_vt16,vt16::memorable/unforgettable,0.54,0,0.61,13.0,13.0,Ordering,within_dataset
hu_vt16,vt16::old/ancient,0.36,1,0.0186666666666666,17.0,35.0,Ordering,within_dataset
hu_vt16,vt16::palatable/delicious,0.61,2,1.0,10.5,0.0,Ordering,within_dataset
hu_vt16,vt16::participate/win,0.18,3,0.8766666666666666,30.0,6.0,Ordering,within_dataset
hu_vt16,vt16::possible/certain,0.93,4,0.2486666666666666,1.5,25.0,Ordering,within_dataset
hu_vt16,vt16::pretty/beautiful,0.11,5,0.3666666666666667,36.0,20.0,Ordering,within_dataset
hu_vt16,vt16::rare/extinct,0.79,6,0.0119999999999999,6.5,37.0,Ordering,within_dataset
hu_vt16,vt16::scarce/unavailable,0.57,7,0.9106666666666668,12.0,4.0,Ordering,within_dataset
hu_vt16,vt16::silly/ridiculous,0.14,8,0.474,33.5,15.0,Ordering,within_dataset
hu_vt16,vt16::small/tiny,0.25,9,0.0413333333333333,23.0,31.0,Ordering,within_dataset
hu_vt16,vt16::snug/tight,0.21,0,0.7953333333333333,26.5,8.0,Ordering,within_dataset
hu_vt16,vt16::sometimes/always,0.86,1,0.4233333333333333,4.0,18.0,Ordering,within_dataset
hu_vt16,vt16::special/unique,0.14,2,0.4146666666666667,33.5,19.0,Ordering,within_dataset
hu_vt16,vt16::start/finish,0.21,3,0.4553333333333333,26.5,16.0,Ordering,within_dataset
hu_vt16,vt16::tired/exhausted,0.14,4,0.2666666666666666,33.5,22.0,Ordering,within_dataset
hu_vt16,vt16::try/succeed,0.3899999999999999,5,0.2506666666666666,15.5,24.0,Ordering,within_dataset
hu_vt16,vt16::ugly/hideous,0.18,6,0.2386666666666667,30.0,26.0,Ordering,within_dataset
hu_vt16,vt16::warm/hot,0.64,7,0.842,9.0,7.0,Ordering,within_dataset
hu_vt16,vt16::wary/scared,0.14,8,0.936,33.5,3.0,Ordering,within_dataset
hu_vt16,vt16::adequate/good,0.32,0,0.4913333333333333,18.5,2.0,Conjunction Top-K,within_dataset
hu_vt16,vt16::allowed/obligatory,0.82,1,0.0006666666666666,5.0,36.0,Conjunction Top-K,within_dataset
hu_vt16,vt16::attractive/stunning,0.21,2,0.0073333333333333,26.5,28.5,Conjunction Top-K,within_dataset
hu_vt16,vt16::believe/know,0.61,3,0.364,10.5,4.0,Conjunction Top-K,within_dataset
hu_vt16,vt16::big/enormous,0.21,4,0.008,26.5,26.5,Conjunction Top-K,within_dataset
hu_vt16,vt16::cheap/free,0.93,5,0.2773333333333333,1.5,6.0,Conjunction Top-K,within_dataset
hu_vt16,vt16::content/happy,0.04,6,0.098,38.0,13.0,Conjunction Top-K,within_dataset
hu_vt16,vt16::cool/cold,0.46,7,0.266,14.0,7.0,Conjunction Top-K,within_dataset
hu_vt16,vt16::dark/black,0.29,8,0.2886666666666667,20.5,5.0,Conjunction Top-K,within_dataset
hu_vt16,vt16::difficult/impossible,0.96,9,0.0246666666666666,0.0,22.0,Conjunction Top-K,within_dataset
hu_vt16,vt16::dislike/loathe,0.18,0,0.0,30.0,37.5,Conjunction Top-K,within_dataset
hu_vt16,vt16::funny/hilarious,0.29,1,0.0393333333333333,20.5,18.0,Conjunction Top-K,within_dataset
hu_vt16,vt16::good/excellent,0.32,2,0.0746666666666666,18.5,15.0,Conjunction Top-K,within_dataset
hu_vt16,vt16::good/perfect,0.3899999999999999,3,0.102,15.5,12.0,Conjunction Top-K,within_dataset
hu_vt16,vt16::hard/unsolvable,0.71,4,0.038,8.0,19.0,Conjunction Top-K,within_dataset
hu_vt16,vt16::hungry/starving,0.25,5,0.0,23.0,37.5,Conjunction Top-K,within_dataset
hu_vt16,vt16::intelligent/brilliant,0.07,6,0.0786666666666666,37.0,14.0,Conjunction Top-K,within_dataset
hu_vt16,vt16::like/love,0.25,7,0.0186666666666666,23.0,23.0,Conjunction Top-K,within_dataset
hu_vt16,vt16::low/depleted,0.79,8,0.0013333333333333,6.5,34.0,Conjunction Top-K,within_dataset
hu_vt16,vt16::may/will,0.89,9,0.7326666666666667,3.0,1.0,Conjunction Top-K,within_dataset
hu_vt16,vt16::memorable/unforgettable,0.54,0,0.018,13.0,24.0,Conjunction Top-K,within_dataset
hu_vt16,vt16::old/ancient,0.36,1,0.01,17.0,25.0,Conjunction Top-K,within_dataset
hu_vt16,vt16::palatable/delicious,0.61,2,0.8079999999999999,10.5,0.0,Conjunction Top-K,within_dataset
hu_vt16,vt16::participate/win,0.18,3,0.0493333333333333,30.0,16.0,Conjunction Top-K,within_dataset
hu_vt16,vt16::possible/certain,0.93,4,0.0373333333333333,1.5,20.0,Conjunction Top-K,within_dataset
hu_vt16,vt16::pretty/beautiful,0.11,5,0.1939999999999999,36.0,8.0,Conjunction Top-K,within_dataset
hu_vt16,vt16::rare/extinct,0.79,6,0.002,6.5,32.0,Conjunction Top-K,within_dataset
hu_vt16,vt16::scarce/unavailable,0.57,7,0.0306666666666666,12.0,21.0,Conjunction Top-K,within_dataset
hu_vt16,vt16::silly/ridiculous,0.14,8,0.044,33.5,17.0,Conjunction Top-K,within_dataset
hu_vt16,vt16::small/tiny,0.25,9,0.006,23.0,31.0,Conjunction Top-K,within_dataset
hu_vt16,vt16::snug/tight,0.21,0,0.0073333333333333,26.5,28.5,Conjunction Top-K,within_dataset
hu_vt16,vt16::sometimes/always,0.86,1,0.13,4.0,10.0,Conjunction Top-K,within_dataset
hu_vt16,vt16::special/unique,0.14,2,0.1113333333333333,33.5,11.0,Conjunction Top-K,within_dataset
hu_vt16,vt16::start/finish,0.21,3,0.1933333333333333,26.5,9.0,Conjunction Top-K,within_dataset
hu_vt16,vt16::tired/exhausted,0.14,4,0.0013333333333333,33.5,34.0,Conjunction Top-K,within_dataset
hu_vt16,vt16::try/succeed,0.3899999999999999,5,0.008,15.5,26.5,Conjunction Top-K,within_dataset
hu_vt16,vt16::ugly/hideous,0.18,6,0.0013333333333333,30.0,34.0,Conjunction Top-K,within_dataset
hu_vt16,vt16::warm/hot,0.64,7,0.48,9.0,3.0,Conjunction Top-K,within_dataset
hu_vt16,vt16::wary/scared,0.14,8,0.0066666666666666,33.5,30.0,Conjunction Top-K,within_dataset
hu_vt16,vt16::adequate/good,0.32,0,0.6913333333333332,18.5,2.0,Conjunction Top-p,within_dataset
hu_vt16,vt16::allowed/obligatory,0.82,1,0.0013333333333333,5.0,36.0,Conjunction Top-p,within_dataset
hu_vt16,vt16::attractive/stunning,0.21,2,0.026,26.5,25.0,Conjunction Top-p,within_dataset
hu_vt16,vt16::believe/know,0.61,3,0.4446666666666667,10.5,5.0,Conjunction Top-p,within_dataset
hu_vt16,vt16::big/enormous,0.21,4,0.028,26.5,24.0,Conjunction Top-p,within_dataset
hu_vt16,vt16::cheap/free,0.93,5,0.6353333333333333,1.5,3.0,Conjunction Top-p,within_dataset
hu_vt16,vt16::content/happy,0.04,6,0.3126666666666666,38.0,8.0,Conjunction Top-p,within_dataset
hu_vt16,vt16::cool/cold,0.46,7,0.3573333333333333,14.0,7.0,Conjunction Top-p,within_dataset
hu_vt16,vt16::dark/black,0.29,8,0.4353333333333333,20.5,6.0,Conjunction Top-p,within_dataset
hu_vt16,vt16::difficult/impossible,0.96,9,0.0133333333333333,0.0,31.0,Conjunction Top-p,within_dataset
hu_vt16,vt16::dislike/loathe,0.18,0,0.0,30.0,37.5,Conjunction Top-p,within_dataset
hu_vt16,vt16::funny/hilarious,0.29,1,0.042,20.5,22.0,Conjunction Top-p,within_dataset
hu_vt16,vt16::good/excellent,0.32,2,0.078,18.5,18.0,Conjunction Top-p,within_dataset
hu_vt16,vt16::good/perfect,0.3899999999999999,3,0.1166666666666666,15.5,15.0,Conjunction Top-p,within_dataset
hu_vt16,vt16::hard/unsolvable,0.71,4,0.036,8.0,23.0,Conjunction Top-p,within_dataset
hu_vt16,vt16::hungry/starving,0.25,5,0.0,23.0,37.5,Conjunction Top-p,within_dataset
hu_vt16,vt16::intelligent/brilliant,0.07,6,0.1826666666666666,37.0,13.0,Conjunction Top-p,within_dataset
hu_vt16,vt16::like/love,0.25,7,0.0786666666666666,23.0,17.0,Conjunction Top-p,within_dataset
hu_vt16,vt16::low/depleted,0.79,8,0.01,6.5,33.0,Conjunction Top-p,within_dataset
hu_vt16,vt16::may/will,0.89,9,0.738,3.0,1.0,Conjunction Top-p,within_dataset
hu_vt16,vt16::memorable/unforgettable,0.54,0,0.0499999999999999,13.0,21.0,Conjunction Top-p,within_dataset
hu_vt16,vt16::old/ancient,0.36,1,0.016,17.0,29.5,Conjunction Top-p,within_dataset
hu_vt16,vt16::palatable/delicious,0.61,2,0.966,10.5,0.0,Conjunction Top-p,within_dataset
hu_vt16,vt16::participate/win,0.18,3,0.152,30.0,14.0,Conjunction Top-p,within_dataset
hu_vt16,vt16::possible/certain,0.93,4,0.0913333333333333,1.5,16.0,Conjunction Top-p,within_dataset
hu_vt16,vt16::pretty/beautiful,0.11,5,0.2606666666666666,36.0,11.0,Conjunction Top-p,within_dataset
hu_vt16,vt16::rare/extinct,0.79,6,0.006,6.5,35.0,Conjunction Top-p,within_dataset
